candidate,timestep,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,37,37.67762,46.57779,-42.14447,75.26949,-20.00366,2.04864
1,38,39.03534,48.98915,-43.39988,74.96589,-21.16158,2.09553
1,39,38.01232,49.07010,-44.35689,73.89166,-19.75872,2.15991
1,40,38.06715,48.24353,-46.45617,74.78632,-21.60037,2.19605
1,41,36.56180,49.99807,-45.88952,75.20312,-18.92453,2.12631
1,42,36.13290,51.60433,-49.25199,76.80965,-21.67331,2.04218
1,43,36.55447,50.28850,-47.82782,75.87386,-21.65094,2.05793
1,44,34.32140,50.26280,-47.56781,76.75416,-21.39811,2.01906
1,45,36.11268,52.07309,-49.14266,75.62930,-21.65615,2.14901
1,46,36.08927,52.41148,-48.10466,76.40198,-21.27085,2.28443
1,47,35.59298,53.33147,-50.46450,75.15309,-20.68854,2.13992
1,48,35.80887,50.20441,-44.32247,74.10462,-21.31521,2.06292
1,49,35.32598,50.53421,-46.04477,72.06474,-20.94992,2.02132
2,0,28.96151,27.32476,-40.07946,89.40813,-20.30046,1.83832
2,1,28.07383,25.59883,-35.57785,87.54004,-17.35775,2.01060
2,2,30.15399,27.53239,-40.42833,89.24502,-16.09111,1.93291
2,3,30.43764,28.32260,-39.00285,87.76897,-17.32650,1.87472
2,4,32.50959,30.19347,-41.02184,85.06158,-17.23411,2.41000
2,5,31.75906,30.34068,-38.08674,85.32200,-20.16303,1.96621
2,6,32.01553,32.00175,-39.91710,84.81551,-19.35856,2.10167
2,7,31.19098,34.11481,-41.41108,85.70361,-21.21025,2.09059
2,8,31.02676,32.46059,-38.67856,85.09073,-21.95356,2.05671
2,9,32.36293,35.47007,-38.65872,84.01656,-21.74143,2.14354
2,10,31.81568,34.47789,-39.98944,84.51852,-22.64492,1.97492
2,11,31.58507,35.96813,-37.95163,85.02348,-22.47991,2.09256
2,12,32.35327,36.96207,-39.98823,84.87895,-22.08313,1.95316
2,13,32.87901,35.91510,-40.25437,85.88239,-21.39085,1.90077
2,14,32.82104,37.07577,-41.59370,86.32298,-22.32292,2.01949
2,15,33.15157,36.98620,-42.18113,85.93684,-22.21949,1.99649
2,16,33.72455,37.83653,-42.94336,87.31324,-21.66329,1.78712
2,17,35.12780,39.53786,-41.82529,86.05003,-20.21967,1.86030
2,18,34.57042,41.68717,-46.76844,86.34694,-20.93076,1.84330
2,19,35.04965,40.70683,-44.87437,86.44174,-21.34386,1.81928
2,20,35.97101,41.71968,-47.17819,85.18410,-20.51051,1.77345
2,21,35.59953,42.86454,-47.72073,83.91959,-19.98939,1.71992
2,22,35.26520,42.67521,-48.52481,84.97093,-18.67909,2.12412
2,23,35.22924,43.13637,-45.84681,82.49478,-17.83147,1.68215
2,24,35.92516,43.14943,-45.97814,82.57224,-19.44209,1.80186
2,25,36.19402,44.59520,-46.31694,81.38021,-20.04737,2.14752
