step,wall_time,tau_rnea_Rotation,tau_rnea_Pitch,tau_rnea_Elbow,tau_rnea_Wrist_Pitch,tau_rnea_Wrist_Roll,tau_rnea_Jaw,load_Rotation,load_Pitch,load_Elbow,load_Wrist_Pitch,load_Wrist_Roll,load_Jaw,current_Rotation,current_Pitch,current_Elbow,current_Wrist_Pitch,current_Wrist_Roll,current_Jaw
31,1785849402.5086,-0.00660,-0.00477,-0.36126,-0.03028,0.00046,-0.00039,-140.0,-300.0,320.0,-236.0,-276.0,24.0,2.0,3.0,12.0,4.0,9.0,0.0
32,1785849402.5421,-0.00911,-0.01065,-0.35579,-0.02605,0.00041,-0.00044,-40.0,-280.0,356.0,-80.0,-336.0,0.0,0.0,3.0,21.0,0.0,6.0,0.0
33,1785849402.5754,-0.00724,-0.02007,-0.34746,-0.02321,0.00022,-0.00039,52.0,-304.0,352.0,80.0,-204.0,-24.0,1.0,5.0,23.0,2.0,0.0,0.0
34,1785849402.6088,-0.00475,-0.03473,-0.33808,-0.02084,0.00003,-0.00035,200.0,-300.0,336.0,56.0,24.0,-36.0,7.0,3.0,16.0,0.0,1.0,0.0
35,1785849402.6423,-0.00409,-0.05347,-0.33233,-0.01711,-0.00009,-0.00039,232.0,-292.0,336.0,52.0,-60.0,24.0,4.0,2.0,14.0,2.0,1.0,0.0
36,1785849402.6755,-0.00044,-0.07382,-0.33396,-0.01385,-0.00015,-0.00038,24.0,-168.0,224.0,-20.0,20.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
37,1785849402.7089,0.00512,-0.08649,-0.34284,-0.01403,-0.00009,-0.00032,-140.0,36.0,28.0,-100.0,244.0,40.0,5.0,2.0,0.0,3.0,11.0,1.0
38,1785849402.7424,0.00851,-0.08126,-0.35376,-0.01650,0.00011,-0.00027,-48.0,228.0,-124.0,-116.0,248.0,-20.0,0.0,9.0,2.0,0.0,1.0,0.0
39,1785849402.7757,0.00989,-0.06330,-0.36261,-0.01864,0.00031,-0.00026,104.0,248.0,28.0,116.0,132.0,20.0,3.0,4.0,1.0,4.0,0.0,0.0
40,1785849402.8091,0.00998,-0.04881,-0.37597,-0.02567,0.00053,-0.00020,-24.0,136.0,148.0,92.0,-68.0,28.0,1.0,1.0,10.0,1.0,2.0,0.0
41,1785849402.8424,0.00749,-0.03895,-0.38483,-0.03245,0.00075,-0.00015,-56.0,-104.0,328.0,60.0,-252.0,24.0,1.0,3.0,26.0,1.0,11.0,0.0
42,1785849402.8758,0.00569,-0.03709,-0.38281,-0.03575,0.00082,-0.00010,-216.0,-296.0,364.0,20.0,-388.0,-20.0,9.0,12.0,17.0,0.0,10.0,0.0
43,1785849402.9092,0.00628,-0.04493,-0.36971,-0.03476,0.00069,-0.00007,-240.0,-336.0,320.0,-92.0,-296.0,0.0,5.0,5.0,11.0,2.0,3.0,0.0
44,1785849402.9426,0.00673,-0.05666,-0.35405,-0.02972,0.00046,-0.00011,-88.0,-284.0,328.0,-52.0,-292.0,0.0,0.0,2.0,17.0,0.0,4.0,0.0
45,1785849402.9762,0.00561,-0.07546,-0.34689,-0.02599,0.00031,-0.00015,76.0,-288.0,356.0,-40.0,-312.0,-24.0,2.0,1.0,20.0,0.0,5.0,0.0
46,1785849403.0094,0.00486,-0.09693,-0.34637,-0.02346,0.00022,-0.00017,-84.0,-304.0,324.0,-28.0,-284.0,-24.0,2.0,3.0,14.0,0.0,2.0,0.0
47,1785849403.0428,0.00568,-0.11331,-0.35208,-0.02407,0.00020,-0.00013,-168.0,-292.0,332.0,-32.0,-288.0,28.0,7.0,2.0,15.0,0.0,3.0,0.0
48,1785849403.0762,0.00731,-0.12992,-0.34893,-0.02246,0.00012,-0.00012,-284.0,-292.0,352.0,-68.0,-312.0,-20.0,11.0,1.0,14.0,1.0,7.0,0.0
49,1785849403.1096,0.00830,-0.14911,-0.34182,-0.01808,0.00001,-0.00019,-192.0,-292.0,320.0,-44.0,-308.0,-44.0,0.0,1.0,12.0,0.0,3.0,1.0
50,1785849403.1429,0.00669,-0.17025,-0.33813,-0.01381,-0.00002,-0.00030,-60.0,-276.0,344.0,-24.0,-296.0,-28.0,0.0,1.0,18.0,1.0,3.0,0.0
51,1785849403.1764,0.00217,-0.19154,-0.33703,-0.01039,0.00001,-0.00043,-40.0,-288.0,352.0,-24.0,-184.0,-32.0,0.0,1.0,18.0,0.0,0.0,0.0
52,1785849403.2913,-0.00021,-0.23333,-0.33367,-0.00513,0.00002,-0.00059,28.0,-40.0,160.0,0.0,-40.0,-28.0,0.0,0.0,10.0,0.0,0.0,0.0
53,1785849403.3245,0.00361,-0.23700,-0.33427,-0.00481,0.00001,-0.00059,-128.0,-128.0,220.0,-104.0,-128.0,28.0,6.0,3.0,14.0,3.0,3.0,0.0
54,1785849403.3579,0.01140,-0.24322,-0.33520,-0.00408,-0.00003,-0.00057,-260.0,-288.0,380.0,-288.0,-300.0,0.0,9.0,7.0,28.0,10.0,12.0,0.0
55,1785849403.3913,0.01773,-0.25362,-0.33217,-0.00096,-0.00009,-0.00063,-192.0,-320.0,336.0,-280.0,-328.0,0.0,5.0,1.0,9.0,1.0,6.0,0.0
56,1785849403.4247,0.01894,-0.26309,-0.32561,0.00294,-0.00009,-0.00072,-128.0,-268.0,304.0,-220.0,-300.0,-60.0,0.0,0.0,11.0,0.0,3.0,1.0
57,1785849403.4580,0.01765,-0.26836,-0.31735,0.00559,-0.00006,-0.00077,-188.0,-256.0,364.0,-148.0,-308.0,-52.0,4.0,0.0,22.0,0.0,6.0,0.0
58,1785849403.4914,0.00859,-0.29177,-0.31443,0.00923,-0.00004,-0.00084,-252.0,-288.0,348.0,-156.0,-292.0,0.0,5.0,0.0,16.0,2.0,3.0,0.0
59,1785849403.5248,-0.00047,-0.31397,-0.31344,0.01205,0.00001,-0.00091,-220.0,-284.0,312.0,-116.0,-280.0,20.0,7.0,0.0,10.0,0.0,3.0,0.0
60,1785849403.5582,-0.00355,-0.33178,-0.31050,0.01492,0.00002,-0.00098,-112.0,-288.0,332.0,-176.0,-320.0,0.0,0.0,0.0,17.0,3.0,6.0,0.0
61,1785849403.5916,-0.00420,-0.34685,-0.30551,0.01769,-0.00002,-0.00104,-80.0,-264.0,360.0,64.0,-300.0,0.0,0.0,0.0,23.0,3.0,4.0,0.0
62,1785849403.6250,-0.00544,-0.36380,-0.30214,0.01879,-0.00005,-0.00105,-160.0,-272.0,340.0,60.0,-280.0,-36.0,1.0,0.0,14.0,0.0,2.0,0.0
63,1785849403.6584,-0.00647,-0.38556,-0.30231,0.01909,-0.00008,-0.00107,-64.0,-272.0,320.0,36.0,-300.0,-52.0,0.0,0.0,11.0,0.0,5.0,1.0
64,1785849403.6918,-0.00316,-0.41131,-0.30167,0.02263,-0.00014,-0.00119,-96.0,-268.0,344.0,276.0,-228.0,24.0,2.0,0.0,16.0,19.0,0.0,0.0
65,1785849403.7252,-0.00012,-0.44452,-0.30425,0.02460,-0.00019,-0.00131,-160.0,-272.0,336.0,312.0,-124.0,-32.0,2.0,0.0,16.0,7.0,0.0,0.0
66,1785849403.7585,-0.00273,-0.48467,-0.31184,0.02401,-0.00017,-0.00134,-116.0,-264.0,328.0,180.0,-160.0,36.0,2.0,0.0,13.0,0.0,0.0,0.0
