step,wall_time,tau_rnea_Rotation,tau_rnea_Pitch,tau_rnea_Elbow,tau_rnea_Wrist_Pitch,tau_rnea_Wrist_Roll,tau_rnea_Jaw,load_Rotation,load_Pitch,load_Elbow,load_Wrist_Pitch,load_Wrist_Roll,load_Jaw,current_Rotation,current_Pitch,current_Elbow,current_Wrist_Pitch,current_Wrist_Roll,current_Jaw
130,1785849405.9810,0.00266,-0.62599,-0.30306,0.01935,0.00001,0.00004,-52.0,64.0,-48.0,-76.0,80.0,32.0,1.0,0.0,0.0,2.0,2.0,0.0
131,1785849406.0144,-0.00147,-0.62495,-0.30407,0.01852,0.00001,0.00009,-96.0,-136.0,60.0,-48.0,-36.0,32.0,2.0,6.0,0.0,1.0,0.0,0.0
132,1785849406.0478,-0.00891,-0.62587,-0.30228,0.01935,0.00008,0.00007,24.0,-92.0,28.0,-52.0,36.0,104.0,0.0,1.0,0.0,1.0,0.0,4.0
133,1785849406.0812,-0.01087,-0.61886,-0.29667,0.02029,0.00012,-0.00000,28.0,-36.0,-28.0,-44.0,72.0,192.0,0.0,1.0,1.0,1.0,1.0,5.0
134,1785849406.1146,-0.01130,-0.61106,-0.29111,0.02119,0.00013,-0.00011,24.0,-120.0,40.0,44.0,56.0,-32.0,0.0,5.0,1.0,0.0,1.0,1.0
135,1785849406.1481,-0.00958,-0.61366,-0.29032,0.02171,0.00012,-0.00014,64.0,-72.0,0.0,88.0,68.0,-124.0,2.0,0.0,0.0,0.0,0.0,2.0
136,1785849406.1814,-0.00497,-0.61986,-0.29245,0.02119,0.00010,-0.00009,68.0,28.0,68.0,-52.0,-40.0,-88.0,0.0,0.0,1.0,1.0,0.0,1.0
137,1785849406.2148,-0.00047,-0.62253,-0.29480,0.02041,0.00011,-0.00006,-44.0,-104.0,60.0,32.0,-84.0,-64.0,1.0,4.0,0.0,0.0,1.0,0.0
138,1785849406.2482,0.00063,-0.62752,-0.29617,0.02091,0.00012,-0.00009,60.0,-164.0,-124.0,60.0,116.0,20.0,1.0,5.0,8.0,1.0,4.0,0.0
139,1785849406.2815,-0.00072,-0.63197,-0.29810,0.02112,0.00012,-0.00011,52.0,-60.0,-88.0,-32.0,36.0,36.0,1.0,2.0,3.0,0.0,0.0,0.0
140,1785849406.3150,-0.00133,-0.63222,-0.30012,0.02025,0.00010,-0.00008,0.0,72.0,-52.0,-108.0,-120.0,144.0,0.0,0.0,2.0,2.0,4.0,4.0
141,1785849406.3484,-0.00149,-0.63064,-0.30106,0.01958,0.00008,-0.00009,80.0,-28.0,-48.0,64.0,-144.0,300.0,2.0,0.0,0.0,1.0,2.0,12.0
142,1785849406.3817,-0.00124,-0.62764,-0.29880,0.01953,0.00007,-0.00018,52.0,-24.0,48.0,0.0,52.0,336.0,1.0,0.0,1.0,0.0,1.0,8.0
143,1785849406.4152,0.00241,-0.62148,-0.29594,0.01879,0.00002,-0.00027,36.0,24.0,112.0,-80.0,-64.0,340.0,0.0,0.0,1.0,2.0,1.0,7.0
144,1785849406.4485,0.00481,-0.61953,-0.29563,0.01794,-0.00003,-0.00037,64.0,60.0,-56.0,56.0,-36.0,280.0,2.0,1.0,1.0,0.0,0.0,1.0
145,1785849406.4819,0.00619,-0.61943,-0.29526,0.01778,-0.00005,-0.00047,40.0,64.0,-168.0,84.0,24.0,100.0,1.0,1.0,6.0,1.0,0.0,0.0
146,1785849406.5153,0.00852,-0.61865,-0.29540,0.01795,-0.00005,-0.00054,0.0,32.0,-104.0,28.0,-28.0,40.0,0.0,0.0,3.0,0.0,0.0,0.0
147,1785849406.5487,0.00630,-0.61747,-0.29513,0.01804,-0.00003,-0.00057,32.0,-44.0,0.0,64.0,28.0,-24.0,1.0,1.0,0.0,1.0,0.0,0.0
148,1785849406.5822,0.00386,-0.62153,-0.29909,0.01647,-0.00002,-0.00054,56.0,40.0,52.0,40.0,48.0,128.0,1.0,1.0,0.0,0.0,1.0,3.0
149,1785849406.6154,0.00035,-0.62391,-0.30246,0.01494,0.00001,-0.00055,-32.0,60.0,-116.0,-48.0,24.0,92.0,0.0,1.0,5.0,1.0,0.0,1.0
150,1785849406.6489,-0.00436,-0.62070,-0.30256,0.01470,0.00005,-0.00059,-60.0,28.0,-60.0,-88.0,36.0,284.0,1.0,0.0,1.0,3.0,0.0,13.0
151,1785849406.6822,-0.00778,-0.62648,-0.30826,0.01362,0.00008,-0.00061,36.0,36.0,40.0,28.0,96.0,352.0,0.0,1.0,1.0,0.0,3.0,24.0
152,1785849406.8013,-0.00805,-0.63459,-0.31579,0.01154,0.00007,-0.00058,32.0,28.0,-44.0,0.0,28.0,296.0,1.0,0.0,1.0,0.0,0.0,38.0
153,1785849406.8346,-0.00602,-0.63802,-0.31808,0.01094,0.00007,-0.00054,56.0,-72.0,84.0,-100.0,0.0,376.0,1.0,1.0,2.0,3.0,0.0,62.0
154,1785849406.8681,-0.00203,-0.63484,-0.31207,0.01312,0.00006,-0.00063,112.0,-160.0,268.0,-168.0,-28.0,388.0,4.0,3.0,10.0,4.0,0.0,64.0
155,1785849406.9014,0.00203,-0.63162,-0.30398,0.01578,0.00005,-0.00074,104.0,68.0,320.0,-32.0,60.0,348.0,2.0,2.0,5.0,0.0,1.0,60.0
156,1785849406.9347,0.00442,-0.63459,-0.30577,0.01387,0.00004,-0.00071,-52.0,0.0,224.0,-40.0,56.0,332.0,0.0,0.0,0.0,0.0,0.0,52.0
157,1785849406.9682,0.00103,-0.63965,-0.30941,0.01210,0.00004,-0.00067,20.0,60.0,68.0,64.0,-40.0,400.0,0.0,1.0,0.0,1.0,1.0,77.0
158,1785849407.0015,-0.00787,-0.64401,-0.31135,0.01194,0.00008,-0.00068,0.0,-44.0,-72.0,84.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,71.0
159,1785849407.0350,-0.02068,-0.65105,-0.31410,0.01254,0.00013,-0.00071,60.0,-100.0,108.0,-80.0,-36.0,356.0,2.0,0.0,5.0,2.0,0.0,61.0
160,1785849407.0683,-0.03125,-0.66497,-0.32140,0.01291,0.00016,-0.00072,52.0,0.0,228.0,-116.0,-60.0,348.0,1.0,0.0,7.0,1.0,2.0,54.0
161,1785849407.1017,-0.03621,-0.68815,-0.33567,0.01076,0.00015,-0.00064,84.0,68.0,228.0,-104.0,52.0,340.0,3.0,1.0,6.0,2.0,1.0,51.0
162,1785849407.1351,-0.03180,-0.70333,-0.34328,0.01035,0.00010,-0.00062,192.0,200.0,260.0,-192.0,84.0,348.0,9.0,19.0,12.0,4.0,1.0,65.0
163,1785849407.1685,-0.02215,-0.70276,-0.34118,0.01144,0.00004,-0.00065,64.0,172.0,324.0,-216.0,76.0,372.0,1.0,14.0,21.0,4.0,1.0,61.0
164,1785849407.2019,-0.01328,-0.69462,-0.33519,0.01308,0.00002,-0.00070,56.0,88.0,316.0,-116.0,108.0,328.0,0.0,3.0,16.0,0.0,0.0,48.0
165,1785849407.2352,-0.01154,-0.69020,-0.33255,0.01271,0.00005,-0.00069,76.0,248.0,220.0,-80.0,92.0,364.0,1.0,28.0,9.0,1.0,1.0,67.0
166,1785849407.2686,-0.01851,-0.69083,-0.33554,0.01041,0.00013,-0.00062,120.0,260.0,196.0,-252.0,112.0,336.0,1.0,26.0,7.0,8.0,2.0,53.0
167,1785849407.3021,-0.03445,-0.69047,-0.33838,0.00978,0.00023,-0.00058,140.0,244.0,236.0,-128.0,104.0,312.0,4.0,22.0,9.0,0.0,1.0,51.0
168,1785849407.3354,-0.05408,-0.69207,-0.34192,0.00830,0.00033,-0.00053,144.0,328.0,92.0,-28.0,52.0,344.0,4.0,31.0,4.0,0.0,0.0,57.0
169,1785849407.3688,-0.06098,-0.69055,-0.34562,0.00557,0.00035,-0.00045,248.0,428.0,28.0,-128.0,-28.0,320.0,10.0,52.0,1.0,4.0,0.0,48.0
170,1785849407.4023,-0.05462,-0.68093,-0.34512,0.00507,0.00028,-0.00042,240.0,396.0,140.0,-108.0,88.0,332.0,11.0,39.0,9.0,0.0,3.0,54.0
171,1785849407.4356,-0.04448,-0.67145,-0.34402,0.00406,0.00023,-0.00040,256.0,372.0,244.0,28.0,136.0,324.0,8.0,39.0,18.0,1.0,2.0,48.0
172,1785849407.4691,-0.03089,-0.66098,-0.34427,-0.00066,0.00019,-0.00027,216.0,392.0,112.0,-88.0,88.0,308.0,2.0,33.0,4.0,2.0,1.0,41.0
173,1785849407.5024,-0.02333,-0.64287,-0.34163,-0.00515,0.00020,-0.00014,136.0,356.0,164.0,-20.0,188.0,336.0,0.0,25.0,8.0,0.0,5.0,49.0
174,1785849407.5357,-0.02084,-0.62213,-0.33670,-0.00896,0.00024,-0.00003,248.0,376.0,144.0,76.0,144.0,316.0,5.0,33.0,7.0,2.0,0.0,46.0
175,1785849407.5692,-0.01597,-0.60297,-0.33302,-0.01437,0.00024,0.00012,312.0,388.0,104.0,-20.0,-40.0,276.0,8.0,32.0,5.0,0.0,1.0,38.0
176,1785849407.6026,-0.00398,-0.57971,-0.32589,-0.01647,0.00018,0.00016,332.0,360.0,148.0,112.0,-60.0,324.0,16.0,28.0,8.0,4.0,1.0,42.0
177,1785849407.6360,0.01490,-0.55654,-0.31995,-0.02089,0.00005,0.00029,316.0,372.0,76.0,124.0,-28.0,308.0,12.0,28.0,3.0,1.0,0.0,46.0
178,1785849407.6693,0.03827,-0.53361,-0.31485,-0.02651,-0.00015,0.00046,240.0,260.0,168.0,92.0,68.0,296.0,1.0,12.0,15.0,0.0,2.0,38.0
179,1785849407.7027,0.06248,-0.51458,-0.31059,-0.03185,-0.00037,0.00063,224.0,204.0,192.0,120.0,124.0,296.0,1.0,19.0,8.0,2.0,2.0,43.0
180,1785849407.7361,0.07346,-0.50669,-0.31177,-0.03837,-0.00044,0.00086,140.0,216.0,-52.0,48.0,-84.0,320.0,0.0,12.0,1.0,1.0,3.0,46.0
181,1785849407.7695,0.06926,-0.51109,-0.31711,-0.04014,-0.00038,0.00092,24.0,56.0,-36.0,180.0,24.0,304.0,0.0,1.0,0.0,6.0,1.0,43.0
182,1785849407.8030,0.06005,-0.53370,-0.33064,-0.04187,-0.00027,0.00098,180.0,156.0,36.0,124.0,136.0,292.0,5.0,9.0,1.0,2.0,2.0,41.0
183,1785849407.8363,0.04566,-0.56067,-0.34606,-0.04392,-0.00013,0.00104,80.0,124.0,-24.0,148.0,52.0,292.0,0.0,6.0,0.0,3.0,0.0,39.0
184,1785849407.8697,0.03568,-0.58326,-0.35913,-0.04520,-0.00006,0.00107,140.0,92.0,0.0,100.0,-112.0,292.0,5.0,3.0,0.0,1.0,4.0,44.0
185,1785849407.9031,0.03211,-0.59318,-0.36527,-0.04654,-0.00008,0.00110,140.0,184.0,-40.0,192.0,0.0,300.0,2.0,13.0,0.0,5.0,0.0,40.0
186,1785849407.9364,0.03381,-0.59059,-0.36557,-0.04810,-0.00007,0.00114,-92.0,244.0,32.0,88.0,-108.0,296.0,4.0,22.0,1.0,0.0,4.0,38.0
187,1785849407.9698,0.03586,-0.58337,-0.36395,-0.05001,-0.00010,0.00121,-40.0,88.0,156.0,24.0,-80.0,288.0,1.0,3.0,9.0,0.0,0.0,43.0
188,1785849408.0033,0.03872,-0.57933,-0.36227,-0.05043,-0.00015,0.00123,52.0,56.0,104.0,-36.0,112.0,268.0,0.0,2.0,4.0,0.0,4.0,38.0
189,1785849408.0366,0.04060,-0.57064,-0.35804,-0.05042,-0.00015,0.00123,64.0,-56.0,-84.0,88.0,-28.0,284.0,2.0,0.0,1.0,3.0,1.0,39.0
190,1785849408.0701,0.04003,-0.56527,-0.35580,-0.04996,-0.00011,0.00121,24.0,112.0,56.0,80.0,-148.0,292.0,0.0,5.0,3.0,2.0,4.0,36.0
191,1785849408.1034,0.03397,-0.55959,-0.35255,-0.04995,-0.00009,0.00121,-52.0,76.0,212.0,76.0,28.0,280.0,2.0,3.0,16.0,1.0,0.0,33.0
192,1785849408.1368,0.02534,-0.56249,-0.35282,-0.05030,-0.00003,0.00121,-148.0,-28.0,168.0,-52.0,-88.0,288.0,3.0,0.0,11.0,1.0,2.0,41.0
193,1785849408.1702,0.01186,-0.57209,-0.35555,-0.04904,0.00000,0.00115,-104.0,-164.0,108.0,-48.0,-92.0,296.0,3.0,2.0,5.0,0.0,2.0,43.0
194,1785849408.2036,-0.00365,-0.58947,-0.35942,-0.04672,0.00002,0.00107,-176.0,-92.0,96.0,-48.0,-88.0,276.0,5.0,0.0,1.0,0.0,0.0,42.0
195,1785849408.2370,-0.01704,-0.60704,-0.36484,-0.04593,0.00005,0.00106,52.0,-44.0,-56.0,28.0,20.0,276.0,2.0,0.0,1.0,0.0,0.0,38.0
196,1785849408.2703,-0.02515,-0.62292,-0.37163,-0.04518,0.00010,0.00106,136.0,96.0,72.0,-100.0,-88.0,296.0,5.0,4.0,3.0,1.0,1.0,37.0
197,1785849408.3037,-0.00793,-0.61708,-0.36840,-0.04468,-0.00002,0.00108,-24.0,148.0,-52.0,20.0,124.0,304.0,0.0,11.0,1.0,0.0,3.0,46.0
198,1785849408.3371,0.00627,-0.61358,-0.36790,-0.04440,-0.00007,0.00109,-64.0,-20.0,-104.0,88.0,96.0,288.0,1.0,0.0,0.0,1.0,1.0,39.0
199,1785849408.3705,0.01214,-0.60824,-0.36654,-0.04399,-0.00004,0.00107,-144.0,-52.0,68.0,108.0,48.0,308.0,4.0,0.0,3.0,4.0,0.0,42.0
200,1785849408.4039,0.00203,-0.60931,-0.36723,-0.04428,0.00010,0.00105,-104.0,76.0,100.0,188.0,72.0,292.0,4.0,2.0,4.0,7.0,1.0,36.0
201,1785849408.4373,-0.02168,-0.61399,-0.36823,-0.04437,0.00031,0.00101,-128.0,-40.0,48.0,148.0,56.0,280.0,3.0,0.0,1.0,1.0,1.0,34.0
202,1785849408.5588,-0.04817,-0.62870,-0.37314,-0.04174,0.00051,0.00088,-24.0,52.0,0.0,44.0,20.0,288.0,0.0,1.0,0.0,0.0,0.0,40.0
203,1785849408.5921,-0.06614,-0.63946,-0.37942,-0.04229,0.00060,0.00088,92.0,-72.0,112.0,-76.0,-108.0,244.0,2.0,1.0,5.0,1.0,4.0,24.0
204,1785849408.6255,-0.06783,-0.64935,-0.38298,-0.04189,0.00056,0.00087,252.0,-48.0,176.0,-80.0,-160.0,220.0,10.0,0.0,6.0,0.0,3.0,27.0
205,1785849408.6589,-0.05451,-0.65818,-0.38571,-0.04206,0.00041,0.00091,144.0,48.0,76.0,20.0,-96.0,200.0,5.0,0.0,1.0,0.0,1.0,17.0
206,1785849408.6923,-0.02854,-0.65675,-0.38332,-0.04156,0.00016,0.00093,28.0,-60.0,140.0,-92.0,-92.0,200.0,0.0,0.0,8.0,1.0,1.0,22.0
207,1785849408.7257,0.00868,-0.64496,-0.37346,-0.03960,-0.00013,0.00091,56.0,-28.0,252.0,-48.0,-64.0,200.0,0.0,0.0,16.0,0.0,0.0,18.0
208,1785849408.7591,0.01909,-0.65135,-0.37403,-0.04007,-0.00021,0.00093,92.0,24.0,148.0,-20.0,36.0,200.0,1.0,0.0,4.0,0.0,0.0,19.0
209,1785849408.7925,0.02382,-0.65288,-0.37307,-0.04008,-0.00021,0.00092,188.0,132.0,180.0,-88.0,60.0,200.0,5.0,6.0,11.0,2.0,1.0,23.0
210,1785849408.8259,0.02168,-0.65128,-0.37124,-0.03920,-0.00015,0.00089,52.0,52.0,128.0,52.0,132.0,200.0,2.0,1.0,5.0,1.0,2.0,22.0
211,1785849408.8593,0.02389,-0.64834,-0.36906,-0.03961,-0.00011,0.00090,-60.0,-36.0,28.0,56.0,0.0,200.0,1.0,0.0,1.0,1.0,0.0,23.0
212,1785849408.8926,0.02716,-0.64718,-0.36820,-0.03990,-0.00011,0.00091,108.0,88.0,100.0,-48.0,-36.0,180.0,2.0,3.0,4.0,1.0,1.0,13.0
213,1785849408.9261,0.02756,-0.64567,-0.36886,-0.04089,-0.00010,0.00096,-28.0,144.0,132.0,-52.0,-28.0,172.0,1.0,10.0,7.0,0.0,0.0,17.0
214,1785849408.9594,0.03204,-0.64492,-0.36864,-0.04077,-0.00013,0.00099,-92.0,188.0,60.0,64.0,-44.0,240.0,2.0,16.0,2.0,2.0,0.0,28.0
215,1785849408.9928,0.02923,-0.64711,-0.36927,-0.04075,-0.00014,0.00101,36.0,120.0,36.0,-32.0,56.0,224.0,0.0,6.0,1.0,0.0,1.0,22.0
216,1785849409.0263,0.02538,-0.64256,-0.36509,-0.03939,-0.00014,0.00098,32.0,60.0,116.0,72.0,96.0,180.0,0.0,2.0,5.0,1.0,1.0,13.0
217,1785849409.0596,0.01883,-0.63940,-0.36213,-0.03910,-0.00008,0.00096,-44.0,-64.0,168.0,132.0,-20.0,-88.0,1.0,0.0,8.0,3.0,0.0,0.0
218,1785849409.0931,0.00654,-0.64565,-0.36356,-0.03969,0.00002,0.00098,-164.0,144.0,40.0,20.0,-24.0,-340.0,5.0,7.0,1.0,0.0,0.0,12.0
219,1785849409.1264,-0.00232,-0.64711,-0.36424,-0.03912,0.00010,0.00101,36.0,284.0,-172.0,88.0,60.0,-452.0,0.0,26.0,4.0,3.0,1.0,12.0
220,1785849409.1598,-0.00826,-0.64517,-0.36620,-0.03873,0.00016,0.00111,56.0,216.0,-152.0,-24.0,64.0,-316.0,1.0,12.0,0.0,1.0,0.0,0.0
221,1785849409.1932,-0.01291,-0.64350,-0.36774,-0.03714,0.00021,0.00116,-72.0,120.0,-36.0,-64.0,-68.0,-164.0,1.0,6.0,0.0,1.0,2.0,0.0
222,1785849409.2266,-0.01504,-0.64544,-0.37127,-0.03820,0.00023,0.00126,-20.0,196.0,96.0,-80.0,-96.0,48.0,0.0,11.0,4.0,2.0,1.0,2.0
223,1785849409.2599,-0.01717,-0.64383,-0.37236,-0.03903,0.00025,0.00129,32.0,68.0,-48.0,-68.0,28.0,116.0,0.0,2.0,0.0,1.0,0.0,2.0
224,1785849409.2933,-0.01380,-0.64256,-0.37169,-0.03758,0.00021,0.00124,-36.0,40.0,-84.0,-76.0,-20.0,116.0,1.0,0.0,0.0,1.0,0.0,0.0
225,1785849409.3268,-0.01317,-0.64088,-0.36992,-0.03609,0.00017,0.00121,0.0,132.0,52.0,-36.0,-68.0,72.0,0.0,7.0,1.0,0.0,2.0,0.0
226,1785849409.3601,-0.00921,-0.63854,-0.36826,-0.03560,0.00009,0.00121,48.0,196.0,-64.0,-52.0,-104.0,76.0,1.0,14.0,1.0,0.0,2.0,1.0
227,1785849409.3935,-0.00357,-0.63753,-0.36915,-0.03554,0.00001,0.00124,100.0,76.0,-48.0,-68.0,-44.0,84.0,3.0,3.0,0.0,0.0,0.0,0.0
228,1785849409.4269,-0.00395,-0.64117,-0.37066,-0.03383,-0.00002,0.00116,0.0,60.0,56.0,-72.0,20.0,28.0,0.0,2.0,2.0,2.0,0.0,0.0
229,1785849409.4602,-0.00603,-0.64410,-0.37195,-0.03332,-0.00003,0.00113,-24.0,192.0,28.0,-88.0,0.0,-36.0,1.0,13.0,0.0,1.0,0.0,0.0
230,1785849409.4937,-0.00877,-0.64842,-0.37426,-0.03203,-0.00004,0.00108,-56.0,116.0,92.0,104.0,92.0,-216.0,1.0,5.0,4.0,3.0,3.0,9.0
231,1785849409.5271,-0.00838,-0.65564,-0.37922,-0.03334,-0.00006,0.00116,52.0,176.0,60.0,-72.0,76.0,-180.0,0.0,13.0,2.0,2.0,0.0,2.0
232,1785849409.5604,-0.00358,-0.65846,-0.38035,-0.03269,-0.00009,0.00119,132.0,264.0,116.0,-52.0,36.0,-108.0,3.0,21.0,6.0,0.0,0.0,0.0
233,1785849409.5938,-0.00088,-0.65552,-0.37876,-0.03142,-0.00010,0.00117,-20.0,172.0,164.0,-56.0,96.0,20.0,0.0,16.0,12.0,1.0,2.0,0.0
234,1785849409.6272,0.00008,-0.65352,-0.37603,-0.03062,-0.00008,0.00115,72.0,152.0,276.0,-240.0,168.0,64.0,2.0,13.0,20.0,9.0,4.0,1.0
235,1785849409.6606,-0.00190,-0.64666,-0.36995,-0.02957,0.00002,0.00109,-52.0,204.0,268.0,-136.0,288.0,48.0,2.0,17.0,13.0,0.0,8.0,0.0
236,1785849409.6941,-0.00330,-0.64095,-0.36472,-0.02877,0.00014,0.00102,-84.0,232.0,176.0,-40.0,192.0,-52.0,3.0,24.0,6.0,0.0,0.0,0.0
237,1785849409.7273,-0.00769,-0.63827,-0.36376,-0.02967,0.00026,0.00104,112.0,252.0,84.0,-116.0,120.0,32.0,3.0,17.0,4.0,3.0,1.0,0.0
238,1785849409.7608,-0.01533,-0.63683,-0.36536,-0.03026,0.00033,0.00103,116.0,316.0,104.0,-96.0,200.0,72.0,3.0,33.0,5.0,0.0,4.0,1.0
239,1785849409.7941,-0.01973,-0.63677,-0.36805,-0.03048,0.00034,0.00101,48.0,260.0,68.0,-32.0,-36.0,180.0,1.0,21.0,3.0,0.0,2.0,4.0
240,1785849409.8275,-0.01931,-0.63923,-0.37208,-0.03159,0.00026,0.00099,48.0,256.0,-40.0,-200.0,0.0,380.0,1.0,23.0,0.0,5.0,0.0,22.0
241,1785849409.8609,-0.00754,-0.62462,-0.36674,-0.03020,0.00009,0.00083,92.0,400.0,152.0,0.0,156.0,404.0,2.0,35.0,11.0,0.0,5.0,6.0
242,1785849409.8943,0.00835,-0.59588,-0.35575,-0.03241,0.00002,0.00079,156.0,408.0,164.0,-40.0,320.0,388.0,3.0,40.0,9.0,0.0,10.0,7.0
243,1785849409.9277,0.02459,-0.54882,-0.33583,-0.03526,0.00007,0.00077,108.0,372.0,156.0,-184.0,252.0,268.0,2.0,33.0,7.0,4.0,0.0,0.0
244,1785849409.9611,0.03051,-0.48773,-0.30996,-0.03817,0.00022,0.00076,36.0,352.0,52.0,-20.0,228.0,100.0,0.0,20.0,1.0,0.0,2.0,0.0
245,1785849409.9945,0.02903,-0.43691,-0.29157,-0.04260,0.00042,0.00081,-76.0,320.0,-112.0,-20.0,184.0,-48.0,1.0,14.0,2.0,0.0,0.0,1.0
246,1785849410.0281,0.02495,-0.41050,-0.28454,-0.04427,0.00053,0.00080,36.0,172.0,-88.0,40.0,-52.0,-28.0,0.0,3.0,0.0,0.0,3.0,0.0
247,1785849410.0614,0.02554,-0.45135,-0.30854,-0.04440,0.00033,0.00077,-48.0,-92.0,68.0,132.0,-224.0,-28.0,0.0,4.0,2.0,3.0,10.0,0.0
248,1785849410.0947,0.02182,-0.50222,-0.33338,-0.04422,0.00013,0.00074,60.0,-56.0,-20.0,-40.0,-300.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0
249,1785849410.1281,0.01243,-0.54127,-0.35084,-0.04122,0.00001,0.00062,-28.0,84.0,28.0,-204.0,-140.0,92.0,0.0,5.0,0.0,6.0,0.0,4.0
250,1785849410.1615,0.00212,-0.54639,-0.35283,-0.03794,0.00002,0.00049,0.0,304.0,-28.0,-128.0,32.0,72.0,0.0,42.0,0.0,0.0,1.0,1.0
251,1785849410.1949,-0.00345,-0.51960,-0.34129,-0.03708,0.00013,0.00046,-72.0,408.0,-124.0,56.0,232.0,-44.0,2.0,53.0,1.0,3.0,9.0,0.0
252,1785849410.3112,-0.00169,-0.43476,-0.32036,-0.04896,0.00044,0.00077,32.0,152.0,-20.0,0.0,56.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0
253,1785849410.3444,0.00542,-0.37998,-0.29861,-0.05411,0.00064,0.00095,-28.0,56.0,92.0,-112.0,-68.0,124.0,0.0,1.0,3.0,3.0,2.0,3.0
254,1785849410.3777,0.00857,-0.34848,-0.28004,-0.05315,0.00074,0.00091,-92.0,-192.0,328.0,-100.0,-264.0,72.0,2.0,5.0,26.0,0.0,11.0,0.0
255,1785849410.4111,0.00702,-0.35788,-0.27026,-0.04686,0.00071,0.00072,-32.0,-300.0,324.0,40.0,-332.0,-28.0,0.0,3.0,10.0,0.0,6.0,0.0
256,1785849410.4445,-0.00048,-0.41294,-0.27960,-0.03895,0.00058,0.00047,-84.0,-276.0,304.0,48.0,-316.0,-28.0,3.0,0.0,6.0,1.0,5.0,0.0
257,1785849410.4779,-0.00957,-0.51021,-0.31440,-0.03305,0.00035,0.00027,-148.0,-180.0,168.0,104.0,-304.0,-28.0,3.0,0.0,3.0,2.0,4.0,0.0
258,1785849410.5113,-0.02368,-0.57077,-0.33697,-0.02963,0.00025,0.00014,44.0,40.0,-24.0,-20.0,-292.0,24.0,1.0,3.0,0.0,0.0,3.0,0.0
259,1785849410.5446,-0.02720,-0.60683,-0.35337,-0.02684,0.00012,0.00006,128.0,68.0,-128.0,-36.0,-312.0,-40.0,4.0,3.0,1.0,0.0,5.0,1.0
260,1785849410.5781,-0.01658,-0.61660,-0.36115,-0.02526,-0.00004,0.00005,192.0,252.0,-292.0,-44.0,-284.0,28.0,14.0,26.0,6.0,0.0,3.0,0.0
261,1785849410.6115,-0.00190,-0.59923,-0.36054,-0.02536,-0.00018,0.00012,-20.0,328.0,-288.0,172.0,-196.0,0.0,0.0,21.0,0.0,7.0,0.0,0.0
262,1785849410.6449,0.01105,-0.57081,-0.35668,-0.02759,-0.00028,0.00022,-88.0,320.0,-204.0,180.0,-120.0,0.0,4.0,22.0,0.0,3.0,1.0,0.0
263,1785849410.6782,0.01595,-0.54431,-0.35130,-0.02945,-0.00031,0.00028,-80.0,312.0,-136.0,120.0,-92.0,-20.0,3.0,24.0,0.0,2.0,0.0,0.0
264,1785849410.7116,0.01423,-0.52187,-0.34582,-0.03044,-0.00026,0.00029,-64.0,280.0,-164.0,208.0,-44.0,-20.0,0.0,13.0,0.0,7.0,0.0,0.0
265,1785849410.7451,0.00840,-0.50368,-0.34180,-0.03179,-0.00017,0.00033,20.0,208.0,-112.0,228.0,-128.0,-20.0,1.0,12.0,0.0,5.0,4.0,0.0
266,1785849410.7784,0.00067,-0.49275,-0.34008,-0.03369,-0.00008,0.00039,48.0,312.0,-276.0,88.0,-100.0,20.0,1.0,25.0,6.0,0.0,0.0,0.0
267,1785849410.8118,-0.00380,-0.48062,-0.33876,-0.03265,-0.00003,0.00036,-52.0,304.0,-276.0,60.0,24.0,-28.0,1.0,25.0,0.0,2.0,0.0,0.0
268,1785849410.8452,-0.00459,-0.46903,-0.33923,-0.03130,-0.00002,0.00034,-88.0,300.0,-276.0,204.0,-100.0,-20.0,3.0,17.0,0.0,9.0,3.0,0.0
269,1785849410.8786,-0.00200,-0.46250,-0.34441,-0.03270,-0.00006,0.00039,-76.0,264.0,-268.0,320.0,-52.0,-28.0,2.0,15.0,0.0,11.0,1.0,0.0
270,1785849410.9121,0.00052,-0.45551,-0.35035,-0.03601,-0.00007,0.00050,20.0,300.0,-288.0,316.0,36.0,24.0,0.0,17.0,1.0,3.0,1.0,0.0
271,1785849410.9454,0.00325,-0.44807,-0.35574,-0.03865,-0.00009,0.00057,44.0,312.0,-260.0,284.0,-76.0,-24.0,0.0,21.0,0.0,3.0,1.0,0.0
272,1785849410.9787,0.00414,-0.43982,-0.35823,-0.03886,-0.00010,0.00054,-24.0,228.0,-268.0,304.0,-20.0,-28.0,0.0,11.0,0.0,6.0,0.0,0.0
273,1785849411.0121,0.00412,-0.43815,-0.36308,-0.03914,-0.00009,0.00050,-84.0,200.0,-288.0,320.0,44.0,24.0,3.0,6.0,1.0,7.0,0.0,0.0
274,1785849411.0455,0.00582,-0.44154,-0.37285,-0.04094,-0.00008,0.00054,-72.0,240.0,-276.0,304.0,-24.0,-40.0,1.0,13.0,0.0,6.0,0.0,0.0
275,1785849411.0791,0.00771,-0.44895,-0.38719,-0.04427,-0.00011,0.00064,-60.0,148.0,-172.0,208.0,68.0,32.0,2.0,4.0,0.0,0.0,2.0,0.0
