R,fracE_bw,p99_v,p99_a,min_invk,seam_v
1.42775249922925,0.41195239944006234,0.6112871494937101,5.523672545267867,0.008030893215768569,0.3835888640400038
0.9097368822148327,0.5337074401159675,1.4398384694571154,9.666371545904056,0.008030956764359661,0.0
0.4926865787718418,0.2414625803172168,2.4396246692418013,11.047298202255545,0.019322248422700198,0.6904591336972121
0.6020171686361712,0.22017499486893075,1.015897052720246,12.428274293535377,0.008264340598140003,0.1380922262136064
0.738053884316706,0.27447587139941804,0.8382196733006322,6.904711179221179,0.006861433680969973,0.1534355294913934
0.9039765496429782,0.33290472063042215,0.9499290402451609,8.061633667924113,0.0072553742105397195,0.07671768152191172
0.8885195878377296,0.1658664850609369,0.9082773988279438,9.405231870868363,0.0060194386275724465,0.015343802620492175
0.2943142696758263,0.17224624108440123,1.663547116922245,13.809130542566027,1.1459016957831149e-05,0.26872110441262725
0.6682202567545668,0.1497245265179354,1.2428281783675992,10.025505210487738,7.784649504345561e-05,0.29152825504770385
1.011936133932039,0.18969846747495103,1.0126740652084711,6.904591336971855,0.00018995206636784035,0.3068707260876502
1.4586218240804119,0.45795384949180357,0.23337524311604463,5.523768943376983,0.004825759441578356,0.030687105898278555
1.024130751874057,0.3076688818285069,0.7613762203627398,5.703283644290716,0.00478095749037099,0.06137421179655725
1.214987768023016,0.31850819267170344,0.7825182343104419,16.570955093129957,0.00023456174984630415,0.03068760524098213
0.5053742255629751,0.14645029146019933,3.0872770553873763,18.31105436279655,7.785055702142419e-05,0.2761839530845081
0.40061575277965394,0.2322580925496307,1.496776492531031,13.610750145888447,0.016046860402969005,0.16877916566431672
0.6615127799987504,0.2896325469436691,1.47620328166768,12.428308148970782,0.009258916628823872,0.1841229682848078
1.335507199381256,0.637166417462998,0.49252779500259136,11.765372585402488,0.008031052341747004,0.4296184838904926
0.7464202234193106,0.2945223064401455,1.6239635416391798,11.226930067693146,0.007953293284770525,0.0
0.3931920306508983,0.14722948221242368,2.031794105440492,11.047313781748278,0.03620089515421308,0.7211467389381965
0.6302967883426013,0.1899410693863378,1.3176291426860773,12.2671168029347,0.0343794074913751,0.16877908244053266
0.305424185026655,0.10598208666887826,1.6821878387789948,20.226844476359958,0.027975375252487278,0.015343802620491065
0.4260166479641039,0.22372007337186509,2.0317933164790203,9.845982719828026,0.019139126419188888,0.4756498917519669
0.9244870726793316,0.37888979374358045,0.5177358864771417,9.439201186627638,0.034909167262534645,0.13809156042333348
0.23278228190367858,0.09444269742488183,3.7284841156549167,27.494112529562745,0.03168246536375689,0.44786855312747953
0.6990465364037034,0.3160715762242811,1.2920813653315035,12.787269839927033,0.007877072681947943,0.41427601285054516
1.8229166666666667,0.4756526581162224,0.04603065884741804,1.3809197654225411,0.007877072681947941,0.015343552949139347
1.3611111111111132,0.43431998709033215,0.0032221461193189345,1.3809197654225358,0.007877072681947941,0.0
0.45659850828982523,0.24537031318240488,2.5349096835150537,13.809185108239815,0.00787707268194795,0.0
0.37421472786203713,0.16760822962636104,1.347777371473067,7.084214195515468,0.043570900489212805,0.5216812996134434
0.7984747054780102,0.23446978104495578,1.388392369136726,13.61069655016465,0.045709305746680313,0.1380915604233346
0.2898233618097961,0.10120717265999916,1.9150382967533888,19.159797785686422,0.040149962245414075,0.015343802620491065
0.47822776148361507,0.24117788162747478,2.301532443028194,11.226876719167016,0.04014769622247518,0.38358882372848346
0.8183636185893374,0.36816208461123673,0.4603060891314753,5.523709022252421,0.04183134604500525,0.07671801441704873
0.38451359536777074,0.1850142408907006,2.219138010603039,12.092433302643443,0.042316503300768256,0.0
0.31326475559969946,0.24491128092425785,3.185781526819484,16.75057405679988,0.011406275940564621,0.9052697072230055
1.7013888888888893,0.5038371215346251,0.0032221461193189635,1.3809226865773618,0.009029171546005478,0.015343802620491065
0.28520572223210067,0.17569939576334095,2.4428468677921074,13.988702617956239,0.009029171546005478,0.0
0.4614138517001997,0.11082918443565654,1.522234549713196,11.047313781748203,0.04425158792099357,0.490993694372458
0.6314951908337271,0.30650572085661465,1.295303843513721,9.846086982584763,0.044998105480034564,0.4603074207120206
0.6913934163982306,0.13012053184358094,1.3561456773168183,12.136116282182865,0.04673413656849002,0.09206148414240722
0.7001063869473695,0.26671829231388444,1.7529574032405715,13.664068103390461,0.043501029866920934,0.23015304456573737
0.5482049739019935,0.36116846547800857,1.8113039414159426,12.787397471922363,0.04323667420947194,0.07671768152191394
0.5436465994280986,0.1443844042118565,1.6603267759268034,15.190128804661596,0.043952496544955366,0.6290852547957915
0.6417243898790411,0.3967426517894421,0.7921883353471348,12.607770718505947,0.038946187770593825,0.15343552949139333
0.63820134772838,0.287955864840897,1.7491655355445799,12.428326275110884,0.03945083508340829,0.2301530445657396
1.2931354712797363,0.4054922791143439,0.5523679061690157,7.084113827631882,0.03823395202614277,0.07671801441704873
0.7558076193725487,0.2008960092063591,1.257166816607832,13.484559400206173,0.03829932879865363,0.030687105898278555
0.6024175109967339,0.29511883847978676,0.8317744697615586,8.431095144170127,0.029834149245751774,0.4030817710516929
0.3908119022907087,0.09292779379106866,0.6936831898023796,7.08411418341355,0.029597224471303897,0.030687105898278833
0.4867218735994185,0.1312696535262901,3.4578223136434194,26.41694560270416,0.008994024581782565,0.1380922262136064
0.3278406665643939,0.35074993999300413,2.1763288711998436,12.607747349267493,0.009558855563331225,0.9052697072230048
0.526990356583715,0.30886655019470544,1.0619283207657622,9.66643671012687,0.0075641874450343505,0.33755833132863455
1.0205389713090143,0.6334524944912412,1.3178586741020066,12.966804502065555,0.007567937497625278,0.0
0.3103552681433124,0.25665602979839425,2.8110921385714467,13.80921263450655,0.023509225915197034,0.613742783755844
0.5438387269408228,0.24304370102791484,1.8935884930933908,12.559312954084792,0.037636380744954984,0.4329395647380829
0.2848037889010133,0.1747893969176998,2.6301925606015306,20.713781800662645,0.03784252788613769,0.7613763938427923
1.0797388045686127,0.18973976645222082,0.5095596256352745,6.90459328440861,0.03593666004679883,0.199466271562595
0.31498245015925547,0.15509089018065506,4.346214274076514,25.21560405458706,0.037820298649398794,0.01534346972535544
1.6333333333333349,0.2469339425004092,0.04603065884741783,1.3809197654225476,0.007954063924685546,0.0
1.5069486631649591,0.44064799771323554,0.046031407861473195,1.5604588841943032,0.007954063924685546,0.0
0.4240508268952852,0.08423485139894775,3.1761152807084683,12.428245245834079,0.00795406392468555,0.16877916566431672
0.6377821435512182,0.16505671565300917,1.2000205469793694,8.465048273729998,0.0030816371836192044,0.2915275892574315
0.5206283440519017,0.20782837375489677,1.132211675391684,11.04730599200209,0.0053887007048091535,0.0920614841424039
0.5769762410851975,0.25140002554900165,0.8603553653226825,9.666415887536097,0.007817762603527014,0.194076299784946
0.2208776610329363,0.11684989974323484,1.804861401870195,16.929992284703253,0.00047866885191837863,0.015343136830219262
0.389954512197315,0.2281959417500452,1.4269497451638826,11.226904732292711,0.0032907982580525573,0.5216806338231683
0.5082293976688629,0.21367177948694843,0.6048445700005515,8.465160326232555,0.00047972164810775915,0.3989322102300541
0.5356389223472476,0.18982087272014123,3.392462128669632,16.930096547459968,0.000815301753690379,0.015343802620491065
0.5901606197910373,0.13529820752241986,3.961859306339972,15.728781065032127,0.007951139700897149,1.3348888569037711
1.2262146748771037,0.4062536142762596,0.5523651897447067,5.703182077984418,0.007951139700897149,0.0
0.8868348315933826,0.5215856304573511,0.5523651897447067,5.703213236969191,0.007953474900472251,0.0
