R,fracE_bw,p99_v,p99_a,min_invk,seam_v,S_pos,S_vel,S_env
1.4277524992292498,0.10031709173121284,0.6112871494937101,5.523672545267867,0.008030893215768569,0.25434865563849424,0,0,0
0.9097368822148327,0.15026618036921627,1.4398384694571154,9.666371545904056,0.00803098863067075,0.0,0,0,0
0.4926865787718419,0.10009858986817732,2.4396246692418013,11.047298202255545,0.019616197452192296,0.3898598643657324,0,0,0
0.6020171686361709,0.037907123489651674,1.015897052720246,12.428274293535377,0.008264340598140067,0.08542571812213255,0,0,0
0.738053884316706,0.09320409781878493,0.8382196733006322,6.904711179221179,0.006905986922509505,0.10026726405065069,0,0,0
0.9039765496429782,0.07731588137109274,0.9499290402451609,8.061633667924113,0.007255374210539744,0.04331776270730318,0,0,0
0.8885195878377296,0.04338014464244588,0.9082773988279438,9.405231870868363,0.006019515491901724,0.009491471880105561,0,0,0
0.29431426967582636,0.033707037207488744,1.663547116922245,13.809130542566027,0.0008594877243746684,0.30079144659623913,0,0,0
0.6682202567545668,0.04200993246735466,1.2428281783675992,10.025505210487738,0.0003686953754514425,0.1905082911629877,0,0,0
1.011936133932039,0.08561406076216009,1.0126740652084711,6.904591336971855,0.0002562909882396992,0.20053431056052268,0,0,0
1.4586218240804119,0.23096382863100806,0.23337524311604463,5.523768943376983,0.004825759441578397,0.0203478903127106,0,0,0
1.024130751874057,0.09667334517012888,0.7613762203627398,5.703283644290716,0.00478095749037099,0.04069578062542129,0,0,0
1.214987768023016,0.19296619594133765,0.7825182343104419,16.570955093129957,0.0007253909118849312,0.020347890312710785,0,0,0
0.5053742255629751,0.02480709275944272,3.0872770553873763,18.31105436279655,7.785055702142419e-05,0.18048107529117124,0,0,0
0.40061575277965394,0.05287148163349148,1.496776492531031,13.610750145888447,0.016047006936642308,0.1044090737492072,0,0,0
0.6615127799987504,0.13696908737447155,1.47620328166768,12.428308148970782,0.009872096005356159,0.12032093440155892,0,0,0
1.335507199381256,0.1751514486505187,0.49252779500259136,11.765372585402488,0.008031052357738853,0.2640168015599103,4,0,0
0.7464202234193102,0.12114356040422834,1.6239635416391798,11.226930067693146,0.007953293284770525,0.0,0,0,0
0.3931920306508982,0.12891818839958685,2.031794105440492,11.047313781748278,0.03661176610501884,0.4071872701933535,0,0,0
0.6302967883426013,0.05639056777874878,1.3176291426860773,12.2671168029347,0.034415421036611805,0.10440902226584921,0,0,0
0.305424185026655,0.049225575267031786,1.6821878387789948,20.226844476359954,0.02855666614068861,0.01671067861856425,0,1,0
0.4260166479641039,0.12408589341643504,2.0317933164790203,9.845982719828026,0.01913912641918905,0.3153921342958778,0,0,0
0.9244870726793316,0.12386897443885649,0.5177358864771417,9.439201186627638,0.03490946324101707,0.09138988900235132,0,0,0
0.23278228190367864,0.0153446035367362,3.7284841156549167,27.494112529562745,0.03196782872516557,0.5013191288962596,0,0,0
0.6990465364037034,0.1705156261505465,1.2920813653315035,12.787269839927033,0.007877072681947943,0.25627674249953275,0,0,0
1.8229166666666667,0.0711326480085471,0.04603065884741804,1.3809197654225411,0.007877072681947941,0.010173945156355346,0,0,0
1.3611111111111132,0.08614062863627858,0.0032221461193189345,1.3809197654225358,0.007877072681947941,0.0,0,0,0
0.4565985082898248,0.03903450679834119,2.5349096835150537,13.809185108239815,0.007877072681947954,0.0,0,0,0
0.3742147278620363,0.026037332164794747,1.347777371473067,7.084214195515468,0.043616419399631685,0.340909024083381,0,0,0
0.7984747054780102,0.08610590704659311,1.388392369136726,13.610696550164649,0.045778123190848286,0.09138988900235205,0,0,0
0.2898233618097961,0.04715057298914586,1.9150382967533888,19.159797785686422,0.04016085166152247,0.010154627944400597,0,0,0
0.47822776148361507,0.04738031478468318,2.301532443028194,11.226876719167016,0.04015595675412438,0.2543486289088835,0,0,0
0.8183636185893374,0.07144835536859097,0.4603060891314753,5.523709022252421,0.041888973970021434,0.04745880093455082,0,0,0
0.38451359536777074,0.06611236931992902,2.219138010603039,12.092433302643443,0.04231650330398753,0.0,0,0,0
0.31326475559969946,0.012696498850735038,3.185781526819484,16.75057405679988,0.011482859765141957,0.5113631010435129,0,0,0
1.7013888888888893,0.04052401960616727,0.0032221461193189635,1.3809226865773618,0.009029171546005478,0.010026889560648605,0,0,0
0.28520572223209945,0.05194396176249575,2.4428468677921074,13.988702617956239,0.009029171546005478,0.0,0,0,0
0.4614138517001991,0.023582927313411817,1.522234549713196,11.047313781748203,0.04425210596585675,0.3208552449620816,0,0,0
0.6314951908337282,0.11754970314076563,1.295303843513721,9.846086982584763,0.044998105480034564,0.300802336003898,0,0,0
0.6913934163982306,0.10405721359015968,1.3561456773168183,12.136116282182865,0.04673460443076085,0.06016046720078164,0,0,0
0.7001063869473695,0.07156341875015054,1.7529574032405715,13.664068103390461,0.04350102986692095,0.15231677542012823,0,0,0
0.5482049739019934,0.1156747921297226,1.8113039414159426,12.787397471922363,0.04339602070906119,0.05086967059806506,0,0,0
0.5436465994280985,0.058063054647935604,1.6603267759268034,15.190128804661596,0.043952496544955366,0.411095510681694,0,0,0
0.6417243898790411,0.14464862561932787,0.7921883353471348,12.607770718505947,0.038946187796029194,0.10173945156355337,0,0,0
