step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
21,1786013957.374,1786013957.3787,0.03343,6.5055,-77.3187,73.7582,80.7912,-68.9670,1.9841,7.7289,-44.2051,51.9183,77.8676,-67.6698,2.0477,7.7289,-66.9670,63.4945,77.8676,-67.6698,2.0477,200,800,-800,500,800,0,0
22,1786013957.4073,1786013957.4124,0.03337,6.0659,-74.2418,71.5604,80.6154,-67.8242,1.9841,4.6472,-55.0192,61.4187,76.3390,-72.5233,1.8734,4.6472,-63.8901,61.4187,76.3390,-72.5233,1.8734,-150,1050,-800,50,500,0,0
23,1786013957.4407,1786013957.4458,0.03337,6.5934,-71.6923,69.2747,79.5604,-68.1758,1.9841,3.6869,-52.4509,59.7957,74.6567,-74.1480,2.1074,3.6869,-61.3407,59.7957,74.6567,-74.1480,2.1074,100,900,-750,-350,-100,0,0
24,1786013957.4741,1786013957.4791,0.0334,6.7692,-69.0549,66.9890,78.2418,-69.2308,1.9841,2.3161,-52.9500,62.9448,73.7785,-75.1173,2.0116,2.3161,-58.7033,62.9448,73.7785,-75.1173,2.0116,150,800,-750,-400,-400,0,0
25,1786013957.5076,1786013957.5127,0.03344,5.1868,-66.1538,64.7912,76.9231,-70.8132,1.9841,3.1774,-46.6281,58.9883,69.9939,-73.1500,1.8898,3.1774,-55.7143,58.9883,69.9939,-73.1500,1.8898,-600,1000,-750,-500,-600,0,0
26,1786013957.5409,1786013957.546,0.03335,3.6923,-63.5165,63.7363,75.6923,-72.5714,1.9841,3.9300,-45.3753,56.7188,68.1017,-72.4193,2.0226,3.9300,-53.2527,56.7188,68.1017,-72.4193,2.0226,-650,800,-250,-450,-650,0,0
27,1786013957.5743,1786013957.579,0.03344,3.6044,-60.9670,63.6484,74.4615,-73.0110,1.9841,3.3562,-47.9521,59.1073,70.5311,-74.6951,1.8837,3.3562,-50.5275,59.1073,70.5311,-74.6951,1.8837,-50,800,-50,-400,-150,0,0
28,1786013957.6077,1786013957.6123,0.03339,4.2198,-57.6264,62.5934,72.2637,-72.7473,1.9841,2.2227,-49.8105,61.2197,68.7006,-76.5891,1.9513,2.2227,-49.8105,61.2197,68.7006,-76.5891,1.9513,250,1200,-350,-800,100,0,0
29,1786013957.6412,1786013957.6456,0.03342,4.0440,-54.9890,60.9231,70.6813,-73.0110,1.9841,3.1348,-40.9569,53.2619,70.2413,-72.7627,2.2256,3.1348,-44.7253,53.2619,70.2413,-72.7627,2.2256,50,850,-600,-600,0,0,0
30,1786013957.6745,1786013957.679,0.03336,3.0769,-53.2308,60.1319,69.9780,-74.1538,1.9841,2.8559,-38.8284,48.3069,71.7972,-71.1917,2.0381,2.8559,-43.0549,50.1319,71.7972,-71.1917,2.0381,-300,500,-350,-300,-350,0,0
31,1786013957.7079,1786013957.7126,0.03343,2.7253,-51.2088,60.1319,70.5934,-75.1209,1.9841,4.3445,-31.0004,40.7171,72.4523,-66.3196,2.0630,4.3445,-40.8571,50.1319,72.4523,-66.3196,2.0630,-50,650,0,350,-150,0,0
32,1786013957.7413,1786013957.7458,0.03334,3.0769,-48.1319,59.3407,71.2967,-74.8571,1.9841,7.1874,-27.5639,37.9686,73.3271,-60.4734,1.9062,7.1874,-37.7802,49.1648,73.3271,-64.6813,1.9062,50,1050,-400,200,0,0,0
33,1786013957.7747,1786013957.7792,0.0334,3.6923,-45.1429,57.0549,71.9121,-72.6593,1.9841,7.4667,-23.2864,33.2977,73.8480,-59.9413,1.8919,7.4667,-34.7912,46.7033,73.8480,-62.3077,1.8919,150,950,-700,250,750,0,0
34,1786013957.8081,1786013957.8126,0.03338,4.3956,-42.5934,54.5055,72.3516,-69.4945,1.9841,7.7380,-21.5063,31.1415,75.6026,-60.1571,1.8699,7.7380,-32.1538,44.0659,75.6026,-60.1571,1.8699,200,900,-900,100,1150,0,0
35,1786013957.8415,1786013957.8461,0.03343,5.6264,-39.6923,52.1319,73.1429,-66.9451,1.9841,8.9228,-20.4397,28.8874,76.9881,-54.2446,1.9292,8.9228,-29.1648,41.9560,76.9881,-56.6813,1.9292,350,1000,-750,300,900,0,0
36,1786013957.8749,1786013957.8794,0.03342,6.7692,-36.4396,49.9341,73.9341,-64.4835,1.9841,11.2801,-18.7920,25.3902,79.5129,-46.7979,1.9239,11.2801,-26.0000,39.5824,79.5129,-54.1319,1.9239,500,1050,-750,200,800,0,0
37,1786013957.9083,1786013957.9132,0.03341,7.3846,-33.7143,47.5604,75.3407,-61.9341,1.9841,14.0533,-12.0794,22.7587,79.8345,-37.9524,2.4201,14.0533,-23.2747,37.2088,79.8345,-51.4945,2.4201,250,950,-750,500,900,0,0
38,1786013957.9417,1786013957.9467,0.03334,8.3516,-30.8132,45.0110,76.6593,-58.8571,1.9841,12.7492,-15.7405,23.2392,79.8793,-39.0798,2.0440,12.7492,-20.3736,34.7473,79.8793,-48.4176,2.0440,450,950,-850,450,950,0,0
39,1786013957.9751,1786013957.9802,0.03341,10.1978,-27.7363,42.7253,77.9780,-56.3077,1.9841,15.1794,-9.8584,18.3829,80.5652,-38.2403,1.9848,15.1794,-17.2967,32.4615,80.5652,-45.9560,1.9848,600,1050,-800,500,850,0,0
40,1786013958.0085,1786013958.0135,0.03342,12.3077,-24.8352,40.4396,78.5934,-53.5824,1.9841,15.4615,-11.7773,18.3794,83.0991,-37.7417,2.0660,15.4615,-14.3077,30.1758,83.0991,-43.1429,2.0660,750,1000,-800,200,950,0,0
41,1786013958.0419,1786013958.0468,0.03335,13.0989,-21.7582,38.0659,79.2967,-50.7692,1.9841,16.7221,-10.8019,18.4671,82.0244,-36.2011,2.1772,16.7221,-11.3187,27.7143,82.0244,-40.3297,2.1772,250,1000,-850,200,1000,0,0
42,1786013958.0752,1786013958.0802,0.0334,13.5385,-18.8571,35.6923,80.3516,-47.9560,1.9841,15.5746,-12.2361,20.2655,81.8589,-32.7619,2.1032,15.5746,-12.2361,25.2527,81.8589,-37.4286,2.1032,100,1000,-850,300,900,0,0
43,1786013958.1086,1786013958.1137,0.0334,14.4176,-15.8681,33.3187,81.5824,-45.2308,1.9841,17.4990,-9.2839,17.5931,80.1031,-29.3577,2.0187,17.4990,-9.2839,22.9670,80.1031,-34.8791,2.0187,300,1050,-800,400,850,0,0
44,1786013958.142,1786013958.1471,0.03335,15.5604,-13.4945,31.0330,81.4945,-42.5055,1.9841,17.3766,-8.7731,17.5258,79.7323,-24.4603,2.3409,17.3766,-8.7731,20.7692,79.7323,-32.0659,2.3409,350,800,-750,50,900,0,0
45,1786013958.1754,1786013958.1803,0.03338,15.8242,-11.8242,28.7473,80.9670,-39.7802,1.9841,17.8658,-12.9645,19.5804,81.6395,-24.6100,2.3791,17.8658,-12.9645,19.5804,81.6395,-29.3407,2.3791,100,550,-750,-300,900,0,0
