step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
21,1786014291.5494,1786014291.5541,0.03338,10.7253,-69.4066,59.6923,81.2308,-77.4066,1.9841,18.8324,-36.0869,24.8422,84.0777,-63.7960,2.1421,18.8324,-58.9670,49.4286,84.0777,-66.9670,2.1421,700,950,-750,200,950,0,0
22,1786014291.5828,1786014291.5875,0.03337,12.9231,-66.6813,57.4066,82.0220,-74.5055,1.9841,21.0633,-33.1860,22.0858,84.8786,-59.3233,2.2291,21.0633,-56.2418,47.0549,84.8786,-64.1538,2.2291,700,900,-850,300,1000,0,0
23,1786014291.6162,1786014291.6207,0.03341,15.1209,-63.8681,55.0330,82.8132,-71.7802,1.9841,23.1869,-30.4678,19.2201,85.7894,-55.1180,2.3213,23.1869,-53.4286,44.6813,85.7894,-61.4286,2.3213,750,950,-750,300,950,0,0
24,1786014291.6496,1786014291.6541,0.03337,17.2308,-61.0549,52.7473,83.7802,-69.0549,1.9841,25.0656,-28.3246,17.1246,86.2547,-51.3327,2.4355,25.0656,-50.7912,42.3956,86.2547,-58.7912,2.4355,800,950,-800,300,950,0,0
25,1786014291.6829,1786014291.6875,0.03334,19.5165,-58.2418,50.2857,84.5714,-66.3297,1.9841,26.8385,-26.4760,15.2122,86.5115,-47.9260,2.5089,26.8385,-47.8901,40.0220,86.5115,-56.0659,2.5089,750,950,-800,250,850,0,0
26,1786014291.7163,1786014291.7209,0.03341,21.6264,-55.4286,48.0000,85.2747,-63.6044,1.9841,28.3039,-24.4385,13.8222,86.6543,-45.0786,2.6512,28.3039,-45.0769,37.6484,86.6543,-53.1648,2.6512,750,950,-800,200,1000,0,0
27,1786014291.7497,1786014291.7542,0.03337,23.6484,-52.7033,45.7143,85.7143,-60.8791,1.9841,29.8119,-22.4103,12.7549,86.6428,-42.7133,2.7200,29.8119,-42.3516,35.4505,86.6428,-50.5275,2.7200,700,950,-750,200,950,0,0
28,1786014291.7831,1786014291.7876,0.03341,25.4945,-49.8901,43.3407,86.0659,-58.1538,2.3810,31.0796,-20.8127,11.9744,86.1818,-40.6116,2.8422,31.0796,-39.4505,32.9890,86.1818,-47.7143,2.8422,650,1000,-800,150,900,250,0
29,1786014291.8165,1786014291.8209,0.03337,27.0769,-46.9890,41.0549,86.2418,-55.3407,2.4471,32.1543,-19.1295,11.1828,85.7983,-38.9333,2.9143,32.1543,-36.6374,30.7033,85.7983,-44.9890,2.9143,550,950,-800,50,950,50,0
30,1786014291.8499,1786014291.8544,0.03339,28.4835,-44.0879,38.6813,86.1538,-52.6154,2.4471,33.2416,-17.7622,10.7713,85.3590,-37.1473,2.9141,33.2416,-33.8242,28.4176,85.3590,-42.1758,2.9141,500,950,-800,0,950,0,0
31,1786014291.8833,1786014291.8878,0.0334,29.8901,-41.1868,36.3956,86.1538,-49.8022,2.6455,34.1912,-15.8426,9.7434,84.9495,-35.1294,2.9847,34.1912,-30.9231,25.9560,84.9495,-39.5385,2.9847,450,1000,-800,0,950,100,0
32,1786014291.9167,1786014291.9212,0.03341,31.2967,-38.2857,33.9341,85.8901,-47.0769,2.7116,35.1100,-14.2490,9.2019,84.4929,-33.3554,2.9617,35.1100,-27.9341,23.6703,84.4929,-36.6374,2.9617,500,1000,-850,-100,950,0,0
33,1786014291.9501,1786014291.9547,0.03338,32.3516,-35.5604,31.6484,85.5385,-44.2637,2.7116,35.7975,-13.2843,8.9911,83.8324,-31.9317,2.9913,35.7975,-25.1209,21.3846,83.8324,-34.0000,2.9913,350,1000,-750,-100,900,0,0
34,1786014291.9834,1786014291.988,0.03337,33.3187,-32.5714,29.2747,85.1868,-41.6264,2.7116,36.5207,-11.8781,8.6914,83.1993,-30.0019,2.9801,36.5207,-22.1319,19.0110,83.1993,-31.1868,2.9801,300,1000,-850,-150,900,0,0
35,1786014292.0168,1786014292.0214,0.03341,34.1978,-29.6703,26.9011,84.6593,-38.9011,2.7116,37.3486,-10.2592,8.4356,82.5133,-28.0772,3.0061,37.3486,-19.1429,16.6374,82.5133,-28.5495,3.0061,300,1000,-750,-150,950,0,0
36,1786014292.0502,1786014292.0548,0.03337,34.9890,-26.6813,24.6154,84.1319,-36.0879,2.7116,37.8072,-8.9051,8.2993,81.7171,-26.2344,2.9789,37.8072,-16.1538,14.2637,81.7171,-26.2344,2.9789,250,950,-800,-200,950,0,0
37,1786014292.0836,1786014292.0881,0.03338,35.8681,-23.6044,22.2418,83.5165,-33.3626,2.7116,38.2891,-7.8021,8.3671,80.9164,-24.9399,2.9676,38.2891,-13.2527,11.9780,80.9164,-24.9399,2.9676,350,1000,-800,-200,900,0,0
38,1786014292.117,1786014292.1215,0.03337,36.6593,-20.5275,19.9560,82.8132,-30.6374,2.7116,38.5944,-6.8986,8.4794,80.0695,-23.7042,2.8903,38.5944,-10.1758,9.6044,80.0695,-23.7042,2.8903,200,1050,-800,-250,950,0,0
39,1786014292.1504,1786014292.155,0.0334,37.2747,-17.4505,17.5824,82.0220,-28.4396,2.7116,39.1175,-5.8950,8.5688,79.3524,-22.7971,2.8838,39.1175,-7.0989,8.5688,79.3524,-22.7971,2.8838,200,1000,-800,-250,750,0,0
40,1786014292.1838,1786014292.1883,0.03345,37.8022,-14.5495,15.2967,81.3187,-26.7692,2.7116,39.3649,-4.7277,8.5700,78.5576,-22.0652,2.8945,39.3649,-4.7277,8.5700,78.5576,-22.0652,2.8945,200,1000,-750,-300,550,0,0
41,1786014292.2172,1786014292.2216,0.0334,38.3297,-11.4725,13.1868,80.5275,-25.2747,2.7116,39.4801,-3.9640,8.8032,77.8570,-21.5302,2.9053,39.4801,-3.9640,8.8032,77.8570,-21.5302,2.9053,150,1000,-750,-250,550,0,0
