ramp,t,pos_raw,vel_raw,goal_raw
pos,3.2999923860188574e-07,1730,0,2389
pos,0.0010712879993661772,1730,0,2389
pos,0.0016558939987589838,1730,0,2389
pos,0.0022260929999902146,1730,0,2389
pos,0.0028300140002102125,1730,0,2389
pos,0.0034121349999622907,1730,0,2389
pos,0.004039350998937152,1730,0,2389
pos,0.0046277439996629255,1730,0,2389
pos,0.005202700998779619,1730,0,2389
pos,0.005775263998657465,1730,0,2389
pos,0.006352595999487676,1730,0,2389
pos,0.006923475999428774,1730,0,2389
pos,0.007491660999221494,1730,0,2389
pos,0.008065776999501395,1730,0,2389
pos,0.008657737000248744,1730,0,2389
pos,0.00924515800033987,1730,0,2389
pos,0.009844280999459443,1730,0,2389
pos,0.010476655999809736,1730,0,2389
pos,0.011075237998738885,1730,0,2389
pos,0.01170049999927869,1730,0,2389
pos,0.012274875998627977,1730,0,2389
pos,0.012880291000328725,1730,0,2389
pos,0.013469153998812544,1730,0,2389
pos,0.014157403998979134,1730,0,2389
pos,0.014813884999966831,1730,0,2389
pos,0.015401124999698368,1730,0,2389
pos,0.01758812499974738,1730,0,2389
pos,0.018280242000400904,1730,0,2389
pos,0.018910392998805037,1730,0,2389
pos,0.019497713999953703,1730,0,2389
pos,0.020094962999792187,1730,0,2389
pos,0.020781760000318172,1730,0,2389
pos,0.021937335999609786,1730,0,2389
pos,0.022530508000272675,1730,0,2389
pos,0.02309764100027678,1730,0,2389
pos,0.023710629999186494,1730,0,2389
pos,0.024303631000293535,1730,0,2389
pos,0.02491963600004965,1730,0,2389
pos,0.02552445899891609,1730,0,2389
pos,0.026153969000006327,1730,0,2389
pos,0.02677307900012238,1730,0,2389
pos,0.027345020998836844,1730,0,2389
pos,0.027960384999460075,1730,0,2389
pos,0.028554086999065476,1730,0,2389
pos,0.02913015699959942,1730,0,2389
pos,0.029772029998639482,1730,0,2389
pos,0.030344352999236435,1730,0,2389
pos,0.030952482999055064,1730,0,2389
pos,0.031519184998614946,1730,0,2389
pos,0.03209282999887364,1730,0,2389
pos,0.03303013699951407,1730,0,2389
pos,0.033753452999008005,1730,0,2389
pos,0.034352175000094576,1730,0,2389
pos,0.036365277999721,1730,0,2389
pos,0.0371098229989002,1730,0,2389
pos,0.03770273400004953,1730,0,2389
pos,0.03827471600015997,1730,0,2389
pos,0.038886913998794626,1730,0,2389
pos,0.040019866999500664,1730,0,2389
pos,0.04060027499872376,1730,0,2389
pos,0.04120286400029727,1730,0,2389
pos,0.04179695799939509,1730,0,2389
pos,0.04234424399874115,1730,0,2389
pos,0.042951561999871046,1730,0,2389
pos,0.04352173000006587,1730,0,2389
pos,0.04409759000009217,1730,0,2389
pos,0.044699477999529336,1730,0,2389
pos,0.045275567999851773,1730,0,2389
pos,0.04584342199996172,1730,0,2389
pos,0.04647667899916996,1730,0,2389
pos,0.047048700998857385,1730,0,2389
pos,0.04762374900019495,1730,0,2389
pos,0.04821975599952566,1730,0,2389
pos,0.04883112199968309,1730,0,2389
pos,0.049398053999539115,1730,0,2389
pos,0.04999808899992786,1730,0,2389
pos,0.05083746200034511,1730,0,2389
pos,0.051478362998750526,1730,0,2389
pos,0.052247985999201774,1730,0,2389
pos,0.054016090000004624,1730,0,2389
pos,0.05472741300036432,1730,0,2389
pos,0.05531919199893309,1730,0,2389
pos,0.05590614199900301,1730,0,2389
pos,0.056525852998674964,1730,0,2389
pos,0.057098556999335415,1731,0,2389
pos,0.05850388099861448,1731,0,2389
pos,0.059096941999086994,1731,0,2389
pos,0.05970736599920201,1731,0,2389
pos,0.0602731170001789,1731,0,2389
pos,0.06084731299961277,1731,0,2389
