step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786005787.1343,1786005787.4225,1.95776,-3.6044,-104.3077,96.7033,81.9341,-92.4396,1.7857,-1.8530,-104.7080,99.8694,81.1300,-91.1956,1.5664,-1.8530,-104.7080,99.8694,81.1300,-91.1956,1.5664,0,0,0,0,0,0,1
1,1786005787.4236,1786005787.4296,0.28935,-3.6044,-104.3077,96.7033,81.9341,-92.4396,1.7857,-2.4575,-102.2422,98.5815,80.0505,-88.9785,1.5570,-2.4575,-102.2422,98.5815,80.0505,-88.9785,1.5570,0,0,0,0,0,0,1
2,1786005787.457,1786005787.4613,0.03336,-3.6044,-104.3077,96.7033,81.9341,-92.4396,1.7857,-3.6076,-102.2865,97.3764,78.3905,-90.0835,1.7149,-3.6076,-102.2865,97.3764,78.3905,-90.0835,1.7149,0,0,0,0,0,0,0
3,1786005787.4904,1786005787.4948,0.03345,-3.4286,-104.2198,96.7912,81.6703,-91.9121,1.7857,-4.2342,-103.2456,97.2618,79.4416,-87.5107,1.7163,-4.2342,-103.2456,97.2618,79.4416,-87.5107,1.7163,50,50,0,-50,0,0,0
4,1786005787.5239,1786005787.5282,0.03346,-3.1648,-103.6044,96.8791,80.4396,-90.6813,1.7857,-3.2577,-102.2055,95.0857,80.1942,-90.0910,1.6132,-3.2577,-102.2055,95.0857,80.1942,-90.0910,1.6132,50,150,0,-400,450,0,0
5,1786005787.5572,1786005787.5619,0.0333,-3.6923,-103.3407,96.7033,79.9121,-89.5385,1.7857,-2.3991,-102.1397,93.7561,79.0334,-89.4665,1.4928,-2.3991,-102.1397,93.7561,79.0334,-89.4665,1.4928,-150,150,-50,-250,350,0,0
6,1786005787.5906,1786005787.595,0.03344,-3.8681,-103.4286,96.4396,80.2637,-88.9231,1.7857,-2.4196,-103.6697,95.1385,79.6907,-89.8949,1.5269,-2.4196,-103.6697,95.1385,79.6907,-89.8949,1.5269,-50,-50,-150,150,350,0,0
7,1786005787.624,1786005787.629,0.03332,-2.9890,-103.0769,95.5604,80.0879,-89.5385,1.7857,-2.1083,-103.1328,96.9777,78.2919,-88.7243,1.6434,-2.1083,-103.1328,96.9777,78.2919,-88.7243,1.6434,350,150,-300,-150,-250,0,0
8,1786005787.6574,1786005787.662,0.03342,-2.6374,-102.8132,95.2967,79.9121,-89.8022,1.7857,-1.3482,-99.7525,92.8316,78.0539,-87.0751,1.4424,-1.3482,-99.7525,92.8316,78.0539,-87.0751,1.4424,200,150,-50,-50,-50,0,0
9,1786005787.6908,1786005787.6954,0.03339,-2.9890,-103.0769,95.7363,79.6484,-89.4505,1.7857,-0.9617,-103.2575,94.8744,78.5742,-90.1346,1.6815,-0.9617,-103.2575,94.8744,78.5742,-90.1346,1.6815,-150,-100,200,-150,0,0,0
