ramp,t,pos_raw,vel_raw,goal_raw
pos,8.999995770864189e-08,694,0,1372
pos,0.0009262900002795504,694,0,1372
pos,0.001518352999482886,694,0,1372
pos,0.0021141130000614794,694,0,1372
pos,0.002715193000767613,694,0,1372
pos,0.003308568000647938,694,0,1372
pos,0.0038591049997194204,694,0,1372
pos,0.004463531000510557,694,0,1372
pos,0.0050607030007086,694,0,1372
pos,0.005611290000160807,694,0,1372
pos,0.006265508000069531,694,0,1372
pos,0.006858533000922762,694,0,1372
pos,0.007463640000423766,694,0,1372
pos,0.008033742000407074,694,0,1372
pos,0.008605266999438754,694,0,1372
pos,0.00920998400033568,694,0,1372
pos,0.009785206000742619,694,0,1372
pos,0.010362021001128596,694,0,1372
pos,0.010997714000041015,694,0,1372
pos,0.011608591999902274,694,0,1372
pos,0.012241550999533501,694,0,1372
pos,0.01282843400076672,694,0,1372
pos,0.013405499999862514,694,0,1372
pos,0.014026527000169153,694,0,1372
pos,0.014584095999452984,694,0,1372
pos,0.015215171000818373,694,0,1372
pos,0.015781416001118487,694,0,1372
pos,0.016358442000637297,694,0,1372
pos,0.016982985000140616,694,0,1372
pos,0.017573896000612876,694,0,1372
pos,0.018157943999540294,694,0,1372
pos,0.01875301300060528,694,0,1372
pos,0.019332953999764868,694,0,1372
pos,0.019912863999707042,694,0,1372
pos,0.020534360999590717,694,0,1372
pos,0.02110379300029308,694,0,1372
pos,0.02171218600051361,694,0,1372
pos,0.022311251999781234,694,0,1372
pos,0.022853964001114946,694,0,1372
pos,0.023461865999706788,694,0,1372
pos,0.024059659999693395,694,0,1372
pos,0.02460361399971589,694,0,1372
pos,0.025226394000128494,694,0,1372
pos,0.025824017000559252,694,0,1372
pos,0.026408416000776924,694,0,1372
pos,0.02700399599962111,694,0,1372
pos,0.027576974000112386,694,0,1372
pos,0.02815838700007589,694,0,1372
pos,0.02873381000063091,694,0,1372
pos,0.029338787000597222,694,0,1372
pos,0.029906605001087883,694,0,1372
pos,0.030476407000605832,694,0,1372
pos,0.031081314000402926,694,0,1372
pos,0.031658048999815946,694,0,1372
pos,0.032279256000038004,694,0,1372
pos,0.03286022800057253,694,0,1372
pos,0.03345997500036901,694,0,1372
pos,0.03403152099963336,694,0,1372
