t_obs,dt,cmd_shoulder_pan,pos_shoulder_pan,sent_shoulder_pan,cmd_shoulder_lift,pos_shoulder_lift,sent_shoulder_lift,cmd_elbow_flex,pos_elbow_flex,sent_elbow_flex,cmd_wrist_flex,pos_wrist_flex,sent_wrist_flex,cmd_wrist_roll,pos_wrist_roll,sent_wrist_roll,cmd_gripper,pos_gripper,sent_gripper,chunk_start
0.0,0.03333333333333333,2.2857143878936768,1.2307692766189575,2.2857143878936768,-101.97801971435547,-102.72527313232422,-101.97801971435547,97.27472686767578,96.52747344970703,97.27472686767578,80.26373291015625,80.35164642333984,80.26373291015625,-74.4175796508789,-74.68132019042969,-74.4175796508789,1.4774494171142578,1.8518518209457397,1.4774494171142578,1
0.03333333507180214,0.03333333507180214,2.2857143878936768,1.2307692766189575,2.2857143878936768,-101.97801971435547,-102.72527313232422,-101.97801971435547,97.27472686767578,96.52747344970703,97.27472686767578,80.26373291015625,80.35164642333984,80.26373291015625,-74.4175796508789,-74.68132019042969,-74.4175796508789,1.4774494171142578,1.8518518209457397,1.4774494171142578,0
0.06666667014360428,0.03333333507180214,1.9340659379959106,1.494505524635315,1.9340659379959106,-101.97801971435547,-102.72527313232422,-101.97801971435547,97.27472686767578,96.52747344970703,97.27472686767578,80.26373291015625,80.35164642333984,80.26373291015625,-74.32967376708984,-74.5054931640625,-74.32967376708984,1.4774494171142578,1.8518518209457397,1.4774494171142578,0
0.10000000149011612,0.03333333134651184,1.9340659379959106,2.1098902225494385,1.9340659379959106,-101.97801971435547,-102.72527313232422,-101.97801971435547,97.27472686767578,96.52747344970703,97.27472686767578,80.26373291015625,80.35164642333984,80.26373291015625,-74.32967376708984,-74.68132019042969,-74.32967376708984,1.4774494171142578,1.8518518209457397,1.4774494171142578,0
0.13333334028720856,0.03333333879709244,1.9340659379959106,1.8461538553237915,1.9340659379959106,-101.97801971435547,-102.72527313232422,-101.97801971435547,97.27472686767578,96.52747344970703,97.27472686767578,80.26373291015625,80.35164642333984,80.26373291015625,-74.32967376708984,-74.68132019042969,-74.32967376708984,1.4774494171142578,1.8518518209457397,1.4774494171142578,0
0.1666666716337204,0.03333333134651184,1.9340659379959106,1.7582417726516724,1.9340659379959106,-101.97801971435547,-102.54945373535156,-101.97801971435547,97.27472686767578,96.52747344970703,97.27472686767578,80.26373291015625,80.35164642333984,80.26373291015625,-74.32967376708984,-74.5054931640625,-74.32967376708984,1.4774494171142578,1.8518518209457397,1.4774494171142578,0
0.20000000298023224,0.03333333134651184,1.9340659379959106,1.9340659379959106,1.9340659379959106,-101.97801971435547,-102.46154022216797,-101.97801971435547,97.27472686767578,96.52747344970703,97.27472686767578,80.26373291015625,80.35164642333984,80.26373291015625,-74.32967376708984,-74.5054931640625,-74.32967376708984,1.4774494171142578,1.8518518209457397,1.4774494171142578,0
0.23333333432674408,0.03333333134651184,2.1978023052215576,2.1098902225494385,2.1978023052215576,-101.97801971435547,-102.37362670898438,-101.97801971435547,97.27472686767578,96.52747344970703,97.27472686767578,80.26373291015625,80.35164642333984,80.26373291015625,-74.32967376708984,-74.68132019042969,-74.32967376708984,1.4774494171142578,1.8518518209457397,1.4774494171142578,0
0.2666666805744171,0.033333346247673035,2.1978023052215576,2.1098902225494385,2.1978023052215576,-101.97801971435547,-102.28571319580078,-101.97801971435547,97.27472686767578,96.52747344970703,97.27472686767578,80.26373291015625,80.35164642333984,80.26373291015625,-74.32967376708984,-74.68132019042969,-74.32967376708984,1.4774494171142578,1.8518518209457397,1.4774494171142578,0
0.30000001192092896,0.03333333134651184,2.1978023052215576,2.0219781398773193,2.1978023052215576,-101.97801971435547,-102.28571319580078,-101.97801971435547,97.27472686767578,96.52747344970703,97.27472686767578,80.26373291015625,80.35164642333984,80.26373291015625,-74.4175796508789,-74.68132019042969,-74.4175796508789,1.4774494171142578,1.8518518209457397,1.4774494171142578,0
