step,wall_time,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,qdot_shoulder_pan,qdot_shoulder_lift,qdot_elbow_flex,qdot_wrist_flex,qdot_wrist_roll,qdot_gripper,qddot_shoulder_pan,qddot_shoulder_lift,qddot_elbow_flex,qddot_wrist_flex,qddot_wrist_roll,qddot_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,load_shoulder_pan,load_shoulder_lift,load_elbow_flex,load_wrist_flex,load_wrist_roll,load_gripper,current_shoulder_pan,current_shoulder_lift,current_elbow_flex,current_wrist_flex,current_wrist_roll,current_gripper
19,1785849402.1081,0.03344,-1.8462,-100.5275,96.1758,79.0330,-86.4615,2.4471,0.0000,-23.6616,7.8872,0.0000,-26.2906,0.0000,78.803,-944.021,157.068,0.000,-392.224,0.000,0,-150,100,0,-300,0,60,-92,72,-48,104,-32,1,3,3,0,1,1
20,1785849402.1414,0.03332,-1.7582,-100.4396,96.0879,79.2967,-87.4286,2.4471,2.6384,2.6384,-2.6384,7.9151,-29.0219,0.0000,79.180,789.293,-315.885,237.541,-81.968,0.000,50,0,0,0,-300,0,132,-108,188,40,-76,32,3,3,8,1,3,0
21,1785849402.1747,0.03333,-2.8132,-99.2967,95.1209,79.2967,-87.3407,2.4471,-31.6523,34.2900,-29.0146,0.0000,2.6377,0.0000,-1028.846,949.666,-791.385,-237.481,949.904,0.000,-350,450,-400,50,-50,0,104,-232,352,80,-48,40,1,8,24,2,0,1
22,1785849402.2082,0.0334,-3.9560,-97.0110,93.0989,79.1209,-87.0769,2.4471,-34.2150,68.4299,-60.5342,-5.2638,7.8958,0.0000,-76.722,1022.085,-943.636,-157.589,157.417,0.000,-350,1000,-500,0,150,0,116,-332,392,44,32,-32,1,5,26,1,1,0
23,1785849402.2414,0.03336,-4.6593,-94.5495,90.3736,78.7692,-87.1648,2.4471,-21.0805,73.7816,-81.6868,-10.5402,-2.6351,0.0000,393.691,160.411,-634.024,-158.153,-315.648,0.000,-200,850,-950,-100,50,0,-64,-340,328,200,-204,24,2,8,13,8,9,0
24,1785849402.2749,0.03344,-4.3956,-91.7363,88.0879,77.4505,-85.4945,2.4471,7.8873,84.1311,-68.3565,-39.4365,49.9529,0.0000,866.309,309.512,398.654,-864.170,1572.693,0.000,50,1000,-750,-450,400,0,-164,-288,324,160,-340,-32,4,3,16,2,11,0
25,1785849402.3083,0.03338,-2.9011,-88.8352,85.8022,76.3956,-82.9451,2.4471,44.7770,86.9200,-68.4824,-31.6073,76.3842,0.0000,1105.253,83.557,-3.771,234.571,791.911,0.000,550,900,-750,-300,850,50,-56,-284,348,-60,-336,0,0,3,18,2,5,0
26,1785849402.3416,0.03337,-2.2857,-86.3736,83.4286,76.7473,-80.0440,2.5132,18.4404,73.7616,-71.1273,10.5374,86.9333,1.9819,-789.192,-394.299,-79.255,1262.892,316.111,59.388,350,800,-800,-50,1000,0,-68,-328,348,-40,-296,0,1,7,16,0,2,0
27,1785849402.3751,0.03342,-2.3736,-83.4725,81.0549,77.0110,-76.9670,2.5132,-2.6303,86.8006,-71.0187,7.8910,92.0613,0.0000,-630.434,390.127,3.248,-79.180,153.428,-59.297,-100,950,-800,150,950,0,-172,-296,324,108,-264,-28,6,4,16,3,2,0
28,1785849402.4085,0.03339,-0.9670,-80.4835,78.8571,76.3077,-74.6813,2.5132,42.1258,89.5173,-65.8215,-21.0629,68.4544,0.0000,1340.391,81.360,155.649,-867.133,-706.998,0.000,450,950,-750,-300,800,0,-88,-280,344,164,-324,-40,0,2,19,3,7,1
29,1785849402.4418,0.03335,0.2637,-77.8462,76.5714,75.1648,-71.9560,2.5794,36.9014,79.0745,-68.5312,-34.2656,81.7103,1.9830,-156.639,-313.100,-81.243,-395.849,397.444,59.454,600,900,-800,-400,950,50,60,-312,352,20,-196,24,2,5,20,0,0,0
30,1785849402.4753,0.0334,-0.2637,-75.2088,74.1099,74.9890,-69.9341,2.5794,-15.7930,78.9651,-73.7007,-5.2643,60.5399,0.0000,-1577.720,-3.276,-154.780,868.325,-633.862,-59.372,-100,900,-850,-100,800,0,-108,-300,320,-160,-112,-28,3,4,12,5,0,0
31,1785849402.5086,0.03338,0.1758,-72.4835,71.6484,76.4835,-68.2637,2.5794,13.1684,81.6440,-73.7430,44.7725,50.0399,0.0000,867.628,80.257,-1.266,1499.009,-314.560,0.000,200,950,-850,500,500,0,-140,-300,320,-236,-276,24,2,3,12,4,9,0
32,1785849402.5421,0.03342,1.7582,-69.5824,69.4505,78.5055,-66.0659,2.5794,47.3443,86.7979,-65.7559,60.4955,65.7559,0.0000,1022.507,154.197,238.964,470.414,470.208,0.000,450,950,-750,650,800,0,-40,-280,356,-80,-336,0,0,3,21,0,6,0
33,1785849402.5754,0.03335,2.2857,-66.7692,67.1648,79.3846,-63.1648,2.5794,15.8173,84.3587,-68.5415,26.3621,86.9949,0.0000,-945.397,-73.142,-83.529,-1023.554,636.891,0.000,200,950,-800,400,1000,0,52,-304,352,80,-204,-24,1,5,23,2,0,0
34,1785849402.6088,0.03341,1.6703,-64.0440,64.7912,78.9451,-61.1429,2.5794,-18.4204,81.5758,-71.0499,-13.1574,60.5240,0.0000,-1024.837,-83.300,-75.086,-1182.940,-792.356,0.000,-250,850,-800,-150,700,0,200,-300,336,56,24,-36,7,3,16,0,1,0
35,1785849402.6423,0.0334,0.6154,-61.1429,62.4176,78.6813,-61.0549,2.5794,-31.5815,86.8492,-71.0585,-7.8954,2.6318,0.0000,-394.002,157.868,-0.256,157.527,-1733.100,0.000,-350,1000,-800,-50,0,0,232,-292,336,52,-60,24,4,2,14,2,1,0
36,1785849402.6755,0.03334,-1.2308,-58.3297,60.1319,78.5934,-60.8791,2.5794,-55.3744,84.3801,-68.5588,-2.6369,5.2738,0.0000,-713.655,-74.061,74.976,157.726,79.244,0.000,-600,950,-750,0,-50,0,24,-168,224,-20,20,0,0,0,6,0,0,0
37,1785849402.7089,0.03338,-1.8462,-56.5714,58.5495,78.5055,-60.9670,2.5794,-18.4380,52.6799,-47.4119,-2.6340,-2.6340,0.0000,1106.679,-949.791,633.597,0.086,-236.930,0.000,-150,600,-700,0,50,0,-140,36,28,-100,244,40,5,2,0,3,11,1
38,1785849402.7424,0.03344,-0.8791,-56.5714,58.7253,79.1209,-62.9011,2.5794,28.9219,0.0000,5.2585,18.4049,-57.8439,0.0000,1416.435,-1575.546,1575.263,629.228,-1651.211,0.000,400,-50,0,300,-700,0,-48,228,-124,-116,248,-20,0,9,2,0,1,0
39,1785849402.7757,0.03336,-0.1758,-57.9780,60.1319,80.3516,-65.2747,2.5794,21.0834,-42.1668,42.1668,36.8960,-71.1566,0.0000,-234.983,-1264.078,1106.437,554.327,-399.088,0.000,400,-400,500,450,-950,0,104,248,28,116,132,20,3,4,1,4,0,0
40,1785849402.8091,0.03337,-1.0549,-59.9121,60.7473,79.8242,-66.3297,2.5794,-26.3456,-57.9603,18.4419,-15.8073,-31.6147,0.0000,-1421.356,-473.298,-710.991,-1579.418,1184.994,0.000,-350,-650,50,-100,-400,0,-24,136,148,92,-68,28,1,1,10,1,2,0
41,1785849402.8424,0.03338,-1.2308,-61.2308,60.0440,79.3846,-65.8022,2.5794,-5.2669,-39.5020,-21.0678,-13.1673,15.8008,0.0000,631.425,552.929,-1183.540,79.083,1420.365,0.000,0,-450,-200,-100,250,0,-56,-104,328,60,-252,24,1,3,26,1,11,0
42,1785849402.8758,0.03339,-0.6154,-60.5275,58.0220,79.2967,-63.7802,2.5794,18.4314,21.0645,-60.5604,-2.6331,60.5604,0.0000,709.790,1814.030,-1182.845,315.513,1340.595,0.000,100,0,-700,0,400,0,-216,-296,364,20,-388,-20,9,12,17,0,10,0
43,1785849402.9092,0.03338,0.7912,-57.8022,55.2088,79.0330,-60.7033,2.5794,42.1342,81.6349,-84.2683,-7.9002,92.1685,0.0000,710.010,1814.372,-710.166,-157.774,946.813,0.000,400,900,-950,-100,1050,0,-240,-336,320,-92,-296,0,5,5,11,2,3,0
44,1785849402.9426,0.03337,2.8132,-54.9890,52.9231,79.5604,-57.8901,2.5794,60.5838,84.2906,-68.4861,15.8045,84.2906,0.0000,552.802,79.570,472.877,710.254,-236.043,0.000,650,1000,-800,200,850,0,-88,-284,328,-52,-292,0,0,2,17,0,4,0
45,1785849402.9762,0.03344,4.3077,-52.0879,50.5495,80.0879,-55.3407,2.5794,44.6984,86.7674,-70.9915,15.7759,76.2502,0.0000,-475.110,74.080,-74.935,-0.855,-240.475,0.000,650,1000,-800,150,800,0,76,-288,356,-40,-312,-24,2,1,20,0,5,0
46,1785849403.0094,0.03339,4.3077,-49.2747,48.2637,80.4396,-52.5275,2.5794,0.0000,84.2622,-68.4630,10.5328,84.2622,0.0000,-1338.831,-75.040,75.737,-157.045,239.979,0.000,0,950,-800,150,1000,0,-84,-304,324,-28,-284,-24,2,3,14,0,2,0
47,1785849403.0428,0.03337,4.0440,-46.4615,45.8022,80.6154,-49.5385,2.5794,-7.9042,84.3110,-73.7722,5.2694,89.5805,0.0000,-236.887,1.465,-159.115,-157.742,159.390,0.000,-50,950,-850,50,950,0,-168,-292,332,-32,-288,28,7,2,15,0,3,0
48,1785849403.0762,0.0334,5.1868,-43.4725,43.4286,80.7912,-46.9011,2.5794,34.2175,89.4919,-71.0671,5.2642,78.9634,0.0000,1261.134,155.115,80.991,-0.156,-317.878,0.000,250,1050,-800,100,1000,0,-284,-292,352,-68,-312,-20,11,1,14,1,7,0
49,1785849403.1096,0.03338,7.5604,-40.4835,41.0549,81.2308,-44.2637,2.5794,71.1020,89.5358,-71.1020,13.1670,79.0022,0.0000,1104.876,1.318,-1.046,236.729,1.163,0.000,750,1000,-800,150,850,0,-192,-292,320,-44,-308,-44,0,1,12,0,3,1
50,1785849403.1429,0.03337,9.7582,-37.5824,38.7692,81.4945,-41.5385,2.5794,65.8620,86.9379,-68.4965,7.9034,81.6689,0.0000,-157.027,-77.854,78.079,-157.735,79.913,0.000,750,1000,-800,100,1000,0,-60,-276,344,-24,-296,-28,0,1,18,1,3,0
51,1785849403.1764,0.0334,10.5495,-34.6813,36.4835,81.5824,-38.8132,2.5794,23.6899,86.8629,-68.4374,2.6322,81.5985,0.0000,-1262.692,-2.245,1.769,-157.828,-2.109,0.000,200,950,-800,50,900,0,-40,-288,352,-24,-184,-32,0,1,18,0,0,0
52,1785849403.2913,0.11492,11.5165,-28.2637,31.6484,81.8462,-36.0000,2.5794,8.4149,55.8441,-42.0743,2.2950,24.4796,0.0000,-132.919,-269.917,229.405,-2.935,-497.033,0.000,150,350,-150,100,200,0,28,-40,160,0,-40,-28,0,0,10,0,0,0
53,1785849403.3245,0.03329,11.6923,-27.6484,31.1209,81.8462,-35.6484,2.5794,5.2813,18.4847,-15.8440,0.0000,10.5627,0.0000,-94.123,-1122.188,787.896,-68.935,-418.031,0.000,50,200,-150,0,100,0,-128,-128,220,-104,-128,28,6,3,14,3,3,0
