step,wall_time,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,qdot_shoulder_pan,qdot_shoulder_lift,qdot_elbow_flex,qdot_wrist_flex,qdot_wrist_roll,qdot_gripper,qddot_shoulder_pan,qddot_shoulder_lift,qddot_elbow_flex,qddot_wrist_flex,qddot_wrist_roll,qddot_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,load_shoulder_pan,load_shoulder_lift,load_elbow_flex,load_wrist_flex,load_wrist_roll,load_gripper,current_shoulder_pan,current_shoulder_lift,current_elbow_flex,current_wrist_flex,current_wrist_roll,current_gripper
201,1785849408.4373,0.03339,-6.2418,25.0110,-37.4505,81.2308,-8.7473,8.2672,10.5300,15.7951,2.6325,-42.1202,-15.7951,0.0000,-0.060,315.290,78.830,-630.520,-157.600,0.000,150,150,0,-500,-150,0,-128,-40,48,148,56,280,3,0,1,1,1,34
202,1785849408.5588,0.12153,-4.1319,26.1538,-35.5165,79.1209,-9.4505,8.2672,17.3618,9.4043,15.9150,-17.3618,-5.7873,0.0000,56.217,-52.588,109.298,203.731,82.352,0.000,50,0,0,-100,-50,0,-24,52,0,44,20,288,0,1,0,0,0,40
203,1785849408.5921,0.03327,-4.2198,26.1538,-35.5165,79.0330,-9.5385,8.2672,-2.6422,0.0000,0.0000,-2.6422,-2.6422,0.0000,-601.215,-282.644,-478.321,442.395,94.525,0.000,-50,0,0,0,0,0,92,-72,112,-76,-108,244,2,1,5,1,4,24
204,1785849408.6255,0.03341,-4.5714,26.6813,-36.0440,79.5604,-8.9231,8.2672,-10.5261,15.7892,-15.7892,15.7892,18.4207,0.0000,-235.996,472.629,-472.629,551.719,630.490,0.000,-200,200,-150,100,150,0,252,-48,176,-80,-160,220,10,0,6,0,3,27
205,1785849408.6589,0.03339,-5.8901,27.2088,-36.9231,80.0000,-8.0440,8.2672,-39.4881,15.7952,-26.3254,13.1627,26.3254,0.0000,-867.271,0.181,-315.509,-78.651,236.707,0.000,-450,150,-250,100,300,0,144,48,76,20,-96,200,5,0,1,0,1,17
206,1785849408.6923,0.03336,-6.8571,27.6484,-36.9231,80.0000,-6.9890,8.2672,-28.9841,13.1746,0.0000,0.0000,31.6190,0.0000,314.828,-78.547,789.031,-394.515,158.661,0.000,-300,100,-50,0,400,0,28,-60,140,-92,-92,200,0,0,8,1,1,22
207,1785849408.7257,0.03346,-7.5604,28.4396,-37.4505,80.6154,-6.1978,8.2672,-21.0219,23.6497,-15.7665,18.3942,23.6497,0.0000,237.994,313.106,-471.268,549.813,-238.208,0.000,-150,300,-150,150,250,0,56,-28,252,-48,-64,200,0,0,16,0,0,18
208,1785849408.7591,0.03334,-8.1758,29.2308,-38.7692,80.7912,-5.7582,8.2672,-18.4602,23.7345,-39.5576,5.2743,13.1859,0.0000,76.847,2.546,-713.682,-393.567,-313.892,0.000,-200,250,-400,50,200,0,92,24,148,-20,36,200,1,0,4,0,0,19
209,1785849408.7925,0.0334,-8.5275,29.6703,-39.3846,80.6154,-5.7582,8.2672,-10.5272,13.1590,-18.4226,-5.2636,0.0000,0.0000,237.488,-316.597,632.712,-315.472,-394.742,0.000,-50,250,-300,0,0,0,188,132,180,-88,60,200,5,6,11,2,1,23
210,1785849408.8259,0.03344,-9.3187,29.6703,-39.9121,81.4066,-6.1099,8.2672,-23.6574,0.0000,-15.7716,23.6574,-10.5144,0.0000,-392.598,-393.459,79.266,864.749,-314.385,0.000,-250,0,-200,350,-150,0,52,52,128,52,132,200,2,1,5,1,2,22
211,1785849408.8593,0.03336,-9.7582,29.8462,-40.2637,81.1429,-6.9890,8.2672,-13.1759,5.2704,-10.5407,-7.9056,-26.3518,0.0000,314.185,157.980,156.797,-946.107,-474.730,0.000,-100,100,-100,-100,-300,0,-60,-36,28,56,0,200,1,0,1,1,0,23
212,1785849408.8926,0.03337,-10.0220,30.1978,-40.3516,80.8791,-6.9890,8.2672,-7.9045,10.5393,-2.6348,-7.9045,0.0000,0.0000,157.991,157.915,236.949,0.033,789.792,0.000,-50,100,-50,-100,100,0,108,88,100,-48,-36,180,2,3,4,1,1,13
213,1785849408.9261,0.03342,-10.5495,30.2857,-40.4396,81.1429,-6.9011,8.2672,-15.7819,2.6303,-2.6303,7.8909,2.6303,0.0000,-235.691,-236.634,0.135,472.595,78.698,0.000,-150,0,-50,0,50,0,-28,144,132,-52,-28,172,1,10,7,0,0,17
214,1785849408.9594,0.03338,-10.6374,30.3736,-40.5275,81.5824,-6.8132,8.2672,-2.6339,2.6339,-2.6339,13.1695,2.6339,0.0000,393.921,0.107,-0.107,158.149,0.107,0.000,-50,50,-50,150,0,0,-92,188,60,64,-44,240,2,16,2,2,0,28
215,1785849408.9928,0.03337,-10.5495,30.2857,-40.6154,81.4945,-6.6374,8.2672,2.6346,-2.6346,-2.6346,-2.6346,5.2693,0.0000,157.894,-157.894,-0.022,-473.636,78.980,0.000,50,-50,0,-50,50,0,36,120,36,-32,56,224,0,6,1,0,1,22
216,1785849409.0263,0.03342,-10.4615,30.2857,-40.6154,81.4945,-6.9011,8.2672,2.6304,0.0000,0.0000,0.0000,-7.8913,0.0000,-0.126,78.832,78.832,78.832,-393.781,0.000,50,0,0,0,-50,0,32,60,116,72,96,180,0,2,5,1,1,13
217,1785849409.0596,0.03335,-10.3736,30.3736,-40.8791,81.1429,-7.5165,8.2672,2.6359,2.6359,-7.9078,-10.5438,-18.4516,0.0000,0.165,79.036,-237.108,-316.143,-316.639,0.000,0,0,-100,-100,-250,0,-44,-64,168,132,-20,-88,1,0,8,3,0,0
218,1785849409.0931,0.03345,-10.3736,30.9890,-41.5824,80.4396,-7.5165,8.9947,0.0000,18.3955,-21.0234,-21.0234,0.0000,21.7473,-78.795,471.094,-392.059,-313.263,551.567,650.084,0,150,-250,-250,0,250,-164,144,40,20,-24,-340,5,7,1,0,0,12
219,1785849409.1264,0.03337,-9.6703,30.9011,-41.3187,80.1758,-7.5165,10.7804,21.0775,-2.6347,7.9041,-7.9041,0.0000,53.5171,631.684,-630.265,866.944,393.181,0.000,952.128,200,50,0,-50,-100,850,36,284,-172,88,60,-452,0,26,4,3,1,12
220,1785849409.1598,0.0334,-9.4066,30.0220,-39.7363,79.8242,-8.0440,13.6243,7.8973,-26.3245,47.3841,-10.5298,-15.7947,85.1585,-394.668,-709.370,1182.194,-78.625,-472.958,947.473,150,-300,600,-100,-100,1350,56,216,-152,-24,64,-316,1,12,0,1,0,0
221,1785849409.1932,0.03338,-9.2308,29.4945,-37.8901,79.9121,-8.5714,15.9392,5.2674,-15.8021,55.3074,2.6337,-15.8021,69.3476,-78.789,315.231,237.367,394.354,-0.222,-473.666,0,-150,500,0,-150,1100,-72,120,-36,-64,-68,-164,1,6,0,1,2,0
222,1785849409.2266,0.03339,-9.0549,29.3187,-37.4505,80.0000,-8.0440,17.1296,5.2653,-5.2653,13.1633,2.6327,15.7960,35.6506,-0.061,315.540,-1262.067,-0.031,946.251,-1009.107,50,-50,250,0,50,600,-20,196,96,-80,-96,48,0,11,4,2,1,2
223,1785849409.2599,0.03335,-9.1429,29.1429,-37.4505,80.4396,-7.5165,16.9974,-2.6358,-5.2716,0.0000,13.1791,15.8149,-3.9659,-236.895,-0.189,-394.667,316.207,0.568,-1187.799,-50,-50,0,100,200,-50,32,68,-48,-68,28,116,0,2,0,1,0,2
224,1785849409.2933,0.03341,-9.1429,29.0549,-37.0110,81.1429,-7.5165,16.2698,0.0000,-2.6315,13.1575,21.0520,0.0000,-21.7768,78.899,79.028,393.846,235.661,-473.391,-533.139,0,-50,200,150,0,-300,-36,40,-84,-76,-20,116,1,0,0,1,0,0
225,1785849409.3268,0.03346,-9.0549,28.9670,-36.5714,81.4066,-7.7802,15.7407,2.6276,-2.6276,13.1382,7.8829,-7.8829,-15.8145,78.539,0.115,-0.575,-393.615,-235.617,178.210,50,0,200,150,0,-300,0,132,52,-36,-68,72,0,7,1,0,2,0
226,1785849409.3601,0.03331,-9.0549,28.9670,-36.5714,81.7582,-7.2527,15.0132,0.0000,0.0000,0.0000,10.5562,15.8343,-21.8393,-78.880,78.880,-394.399,80.249,711.972,-180.860,0,0,0,150,150,-400,48,196,-64,-52,-104,76,1,14,1,0,2,1
227,1785849409.3935,0.03341,-9.0549,28.6154,-36.1319,82.1099,-6.4615,14.6825,0.0000,-10.5261,13.1577,10.5261,23.6838,-9.8987,0.000,-315.086,393.857,-0.900,234.964,357.427,0,-150,200,150,250,-100,100,76,-48,-68,-44,84,3,3,0,0,0,0
228,1785849409.4269,0.03339,-9.4066,28.5275,-35.8681,82.9011,-5.9341,13.9550,-10.5302,-2.6325,7.8976,23.6929,15.7953,-21.7856,-315.330,236.375,-157.512,394.284,-236.223,-355.955,-100,0,150,250,300,-250,0,60,56,-72,20,28,0,2,2,2,0,0
229,1785849409.4602,0.03336,-9.6703,28.5275,-35.8681,83.0769,-6.0220,13.8228,-7.9055,0.0000,0.0000,5.2703,-2.6352,-3.9649,78.676,78.910,-236.731,-552.217,-552.452,534.172,-100,0,0,0,-50,0,-24,192,28,-88,0,-36,1,13,0,1,0,0
230,1785849409.4937,0.03341,-9.8462,28.4396,-35.6923,83.6044,-6.0220,13.8889,-5.2619,-2.6310,5.2619,15.7858,0.0000,1.9793,79.114,-78.738,157.476,314.702,78.863,177.896,-50,-50,50,200,0,-50,-56,116,92,104,92,-216,1,5,4,3,3,9
231,1785849409.5271,0.03337,-9.7582,28.3516,-35.7802,83.0769,-6.6374,15.0132,2.6345,-2.6345,-2.6345,-15.8070,-18.4415,33.6936,236.637,-0.106,-236.637,-946.759,-552.646,950.397,0,0,0,-200,-100,500,52,176,60,-72,76,-180,0,13,2,2,0,2
232,1785849409.5604,0.03339,-9.6703,28.2637,-35.7802,83.2527,-7.6044,16.1376,2.6332,-2.6332,0.0000,5.2664,-28.9653,33.6770,-0.039,0.039,78.911,631.208,-315.216,-0.496,0,0,0,-150,-350,500,132,264,116,-52,36,-108,3,21,6,0,0,0
233,1785849409.5938,0.03338,-10.1099,27.6484,-35.7802,83.9560,-7.8681,16.7989,-13.1686,-18.4361,0.0000,21.0698,-7.9012,19.8139,-473.401,-473.432,0.000,473.448,631.052,-415.320,-150,-200,0,250,-100,400,-20,172,164,-56,96,20,0,16,12,1,2,0
234,1785849409.6272,0.03336,-10.6374,27.5604,-36.4835,84.6593,-8.3077,17.0635,-15.8108,-2.6351,-21.0811,21.0811,-13.1757,7.9298,-79.198,473.627,-631.896,0.337,-158.101,-356.222,-150,-50,-100,250,-300,150,72,152,276,-240,168,64,2,13,20,9,4,1
235,1785849409.6606,0.0334,-11.1648,27.5604,-38.1538,86.5055,-9.8901,16.8651,-15.7921,0.0000,-50.0084,55.2724,-47.3764,-5.9403,0.559,78.894,-866.062,1023.663,-1023.943,-415.261,-200,0,-600,450,-450,-100,-52,204,268,-136,288,48,2,17,13,0,8,0
236,1785849409.6941,0.03345,-11.2527,27.5604,-39.7363,88.2637,-12.2637,16.5344,-2.6284,0.0000,-47.3115,52.5683,-70.9673,-9.8870,393.572,0.000,80.632,-80.847,-705.327,-117.998,-100,0,-500,650,-800,0,-84,232,176,-40,192,-52,3,24,6,0,0,0
237,1785849409.7273,0.03332,-11.0769,27.1209,-40.3516,88.8791,-14.4615,16.7328,5.2762,-13.1904,-18.4666,18.4666,-65.9521,5.9540,237.202,-395.821,865.584,-1023.332,150.496,475.360,50,-200,-350,150,-750,100,112,252,84,-116,120,32,3,17,4,3,1,0
238,1785849409.7608,0.03343,-11.1648,26.0659,-40.4396,89.8462,-15.6044,16.6667,-2.6299,-31.5583,-2.6299,28.9284,-34.1881,-1.9785,-236.506,-549.467,473.750,312.962,950.207,-237.297,-50,-350,-50,250,-400,-50,116,316,104,-96,200,72,3,33,5,0,4,1
239,1785849409.7941,0.0334,-11.6044,25.0110,-40.4396,90.9011,-17.0989,16.3360,-13.1612,-31.5869,0.0000,31.5869,-44.7482,-9.9014,-315.328,-0.858,78.743,79.601,-316.186,-237.226,-100,-350,0,350,-550,-150,48,260,68,-32,-36,180,1,21,3,0,2,4
240,1785849409.8275,0.03337,-12.3077,24.1319,-40.5275,91.3407,-17.1868,15.2116,-21.0732,-26.3416,-2.6342,13.1708,-2.6342,-33.6891,-237.072,157.170,-78.929,-551.813,1261.884,-712.765,-200,-300,-50,200,50,-450,48,256,-40,-200,0,380,1,23,0,5,0,22
241,1785849409.8609,0.03337,-12.8352,22.7253,-40.3516,92.9231,-17.0110,12.5000,-15.8057,-42.1486,5.2686,47.4172,5.2686,-81.2543,157.841,-473.658,236.805,1026.194,236.805,-1425.292,-200,-450,100,450,50,-1100,92,400,152,0,156,404,2,35,11,0,5,6
242,1785849409.8943,0.0334,-13.4505,21.0549,-40.4396,93.2747,-18.2418,9.9206,-18.4273,-50.0169,-2.6325,10.5299,-36.8546,-77.2374,-78.501,-235.612,-236.592,-1104.566,-1261.351,120.284,-200,-600,0,150,-450,-1100,156,408,164,-40,320,388,3,40,9,0,10,7
243,1785849409.9277,0.03337,-14.0659,19.2967,-40.7912,93.8901,-21.2308,7.2751,-18.4421,-52.6916,-10.5383,18.4421,-89.5758,-79.2814,-0.443,-80.156,-236.926,237.115,-1579.968,-61.255,-200,-600,-100,250,-1050,-1100,108,372,156,-184,252,268,2,33,7,4,0,0
244,1785849409.9611,0.03341,-14.6813,17.1868,-41.2308,95.2967,-23.6044,5.2249,-18.4205,-63.1558,-13.1575,42.1039,-71.0503,-61.3710,0.647,-313.227,-78.399,708.275,554.527,536.114,-200,-700,-200,450,-950,-950,36,352,52,-20,228,100,0,20,1,0,2,0
245,1785849409.9945,0.0334,-15.3846,14.9011,-41.1429,95.6484,-25.8022,4.2989,-21.0566,-68.4340,2.6321,10.5283,-65.8019,-27.7221,-78.926,-158.027,472.737,-945.369,157.137,1007.445,-250,-800,50,200,-750,-250,-76,320,-112,-20,184,-48,1,14,2,0,0,1
246,1785849410.0281,0.0335,-15.5604,12.8791,-40.1758,95.8242,-27.4725,4.2989,-5.2477,-60.3487,28.8624,5.2477,-49.8532,0.0000,471.838,241.317,782.879,-157.606,476.009,827.403,0,-700,400,0,-450,0,36,172,-88,40,-52,-28,0,3,0,0,3,0
247,1785849410.0614,0.03337,-15.5604,11.8242,-39.3846,95.6484,-27.3846,4.2989,0.0000,-31.6091,23.7068,-5.2682,2.6341,0.0000,157.236,861.118,-154.476,-315.085,1572.665,0.000,-50,-300,350,-100,-150,0,-48,-92,68,132,-224,-28,0,4,2,3,10,0
248,1785849410.0947,0.03331,-15.0330,12.4396,-39.3846,94.7692,-25.6264,4.2989,15.8351,18.4743,0.0000,-26.3919,52.7838,0.0000,475.384,1503.543,-711.697,-634.151,1505.535,0.000,150,100,0,-300,500,0,60,-56,-20,-40,-300,0,2,0,0,1,6,0
249,1785849410.1281,0.03339,-15.0330,13.4066,-39.2088,95.2088,-23.1648,4.3651,0.0000,28.9601,5.2655,13.1637,73.7167,1.9806,-474.221,314.022,157.687,1184.588,626.885,59.315,50,350,100,150,900,50,-28,84,28,-204,-140,92,0,5,0,6,0,4
250,1785849410.1615,0.0334,-15.0330,13.6703,-38.9451,96.8791,-21.6703,4.0344,0.0000,7.8968,7.8968,50.0129,44.7484,-9.9014,0.000,-630.678,78.786,1103.338,-867.367,-355.773,0,100,100,600,600,-150,0,304,-28,-128,32,72,0,42,0,0,1,1
251,1785849410.1949,0.0334,-15.0330,13.4066,-38.4176,98.1099,-21.6703,3.8360,0.0000,-7.8961,15.7922,36.8484,0.0000,-5.9403,0.000,-472.828,236.383,-394.136,-1339.739,118.593,0,-200,200,550,100,0,-72,408,-124,56,232,-44,2,53,1,3,9,0
252,1785849410.3112,0.11627,-14.0659,7.5165,-36.5714,97.9341,-27.9121,3.8360,8.3169,-50.6575,15.8777,-1.5122,-53.6818,0.0000,71.529,-367.767,0.736,-329.918,-461.687,51.090,100,-400,0,0,-350,0,32,152,-20,0,56,0,1,4,0,0,1,0
253,1785849410.3444,0.03326,-13.9780,6.8132,-36.4835,98.0220,-28.3516,3.8360,2.6429,-21.1429,2.6429,2.6429,-13.2143,0.0000,-170.576,887.285,-397.875,124.911,1216.559,0.000,50,-300,50,0,-100,0,-28,56,92,-112,-68,124,0,1,3,3,2,3
254,1785849410.3777,0.0333,-14.0659,7.0769,-36.9231,98.9011,-27.9121,3.3069,-2.6399,7.9198,-13.1997,26.3994,13.1997,-15.8885,-158.639,872.735,-475.742,713.393,793.196,-477.122,0,100,-100,450,0,-250,-92,-192,328,-100,-264,72,2,5,26,0,11,0
255,1785849410.4111,0.03341,-13.9780,9.0989,-39.0330,99.8681,-25.4505,2.9762,2.6310,60.5141,-63.1451,28.9415,73.6693,-9.8969,157.751,1574.048,-1494.774,76.080,1809.743,179.319,50,800,-750,400,850,-100,-32,-300,324,40,-332,-28,0,3,10,0,6,0
256,1785849410.4445,0.03338,-13.8901,12.0000,-41.6703,99.8681,-22.7253,2.9762,2.6338,86.9149,-79.0136,0.0000,81.6473,0.0000,0.082,790.951,-475.407,-867.067,239.017,296.504,50,950,-950,0,900,0,-84,-276,304,48,-316,-28,3,0,6,1,5,0
257,1785849410.4779,0.03341,-13.2747,14.9890,-43.8681,99.6044,-19.9121,2.9762,18.4217,89.4770,-65.7919,-7.8950,84.2136,0.0000,472.617,76.696,395.795,-236.340,76.822,0.000,150,1050,-800,-150,900,0,-148,-180,168,104,-304,-28,3,0,3,2,4,0
258,1785849410.5113,0.03338,-12.3956,17.3626,-44.6593,98.9011,-17.1868,2.9762,26.3389,71.1150,-23.7050,-21.0711,81.6506,0.0000,237.203,-550.132,1260.944,-394.762,-76.789,0.000,300,700,-250,-250,950,0,44,40,-24,-20,-292,24,1,3,0,0,3,0
259,1785849410.5446,0.03338,-11.8681,18.1538,-44.1319,98.9011,-14.3736,2.9762,15.8039,23.7058,15.8039,0.0000,84.2874,0.0000,-315.645,-1420.453,1183.748,631.324,79.004,0.000,250,350,0,0,950,0,128,68,-128,-36,-312,-40,4,3,1,0,5,1
260,1785849410.5781,0.03339,-12.1319,18.1538,-42.5495,98.9890,-11.5604,2.9762,-7.8977,0.0000,47.3861,2.6326,84.2419,0.0000,-709.752,-709.880,945.740,78.833,-1.364,0.000,-50,0,550,0,1000,0,192,252,-292,-44,-284,28,14,26,6,0,3,0
261,1785849410.6115,0.03342,-13.0989,17.0110,-39.9121,99.2527,-8.7473,2.9762,-28.9363,-34.1974,78.9170,7.8917,84.1782,0.0000,-629.531,-1023.279,943.492,157.368,-1.907,0.000,-300,-450,900,100,900,0,-20,328,-288,172,-196,0,0,21,0,7,0,0
262,1785849410.6449,0.03343,-13.8022,15.4286,-36.7473,98.1978,-6.7253,2.9762,-21.0404,-47.3408,94.6817,-31.5606,60.4911,0.0000,236.219,-393.210,471.627,-1180.285,-708.642,0.000,-400,-500,1100,-350,600,0,-88,320,-204,180,-120,0,4,22,0,3,1,0
263,1785849410.6782,0.0333,-13.8901,14.0220,-34.2857,96.8791,-5.6703,2.9762,-2.6398,-42.2371,73.9149,-39.5973,31.6778,0.0000,552.530,153.255,-623.583,-241.325,-865.202,0.000,-50,-450,900,-400,350,0,-80,312,-136,120,-92,-20,3,24,0,2,0,0
264,1785849410.7116,0.03345,-13.3626,12.5275,-32.3516,95.8242,-5.1429,2.9762,15.7695,-44.6803,57.8216,-31.5391,15.7695,0.0000,550.374,-73.045,-481.131,240.911,-475.600,0.000,150,-550,650,-350,250,0,-64,280,-164,208,-44,-20,0,13,0,7,0,0
265,1785849410.7451,0.03336,-12.6593,11.1209,-30.3297,94.2418,-4.8791,2.9762,21.0844,-42.1687,60.6176,-47.4398,7.9066,0.0000,159.335,75.296,83.820,-476.694,-235.724,0.000,250,-500,600,-500,100,0,20,208,-112,228,-128,-20,1,12,0,5,4,0
266,1785849410.7784,0.03336,-12.4835,10.0659,-28.6593,92.3077,-4.0000,2.9762,5.2700,-31.6199,50.0648,-57.9697,26.3499,0.0000,-474.005,316.181,-316.299,-315.613,552.799,0.000,50,-300,500,-650,300,0,48,312,-276,88,-100,20,1,25,6,0,0,0
267,1785849410.8118,0.03341,-12.6593,8.5714,-25.8462,91.5165,-3.3846,2.9762,-5.2631,-44.7362,84.2094,-23.6839,18.4208,0.0000,-315.295,-392.623,1022.078,1026.306,-237.347,0.000,-100,-550,950,-450,250,0,-52,304,-276,60,24,-28,1,25,0,2,0,0
268,1785849410.8452,0.03339,-13.0989,6.9011,-22.9451,91.4286,-3.2967,2.9762,-13.1637,-50.0220,86.8804,-2.6327,2.6327,0.0000,-236.602,-158.295,79.988,630.427,-472.811,0.000,-50,-550,1000,50,0,0,-88,300,-276,204,-100,-20,3,17,0,9,3,0
269,1785849410.8786,0.03338,-13.0110,5.3187,-19.7802,89.6703,-2.5934,2.9762,2.6337,-47.4062,94.8124,-52.6736,21.0694,0.0000,473.259,78.364,237.631,-1499.129,552.328,0.000,0,-600,1050,-650,300,0,-76,264,-268,320,-52,-28,2,15,0,11,1,0
270,1785849410.9121,0.03345,-12.4835,3.7363,-16.7033,86.9451,-2.4176,2.9762,15.7707,-47.3121,91.9957,-81.4819,5.2569,0.0000,392.778,2.815,-84.218,-861.328,-472.773,0.000,150,-500,1000,-800,100,0,20,300,-288,316,36,24,0,17,1,3,1,0
271,1785849410.9454,0.03341,-12.1319,2.2418,-13.5385,84.0440,-2.5055,2.9762,10.5240,-44.7270,94.7159,-86.8229,-2.6310,0.0000,-157.021,77.366,81.411,-159.845,-236.066,0.000,100,-550,1100,-1050,0,0,44,312,-260,284,-76,-24,0,21,0,3,1,0
272,1785849410.9787,0.03333,-12.1319,0.6593,-10.3736,81.4066,-2.1538,2.9762,0.0000,-47.4746,94.9493,-79.1244,10.5499,0.0000,-315.734,-82.434,7.001,230.966,395.445,0.000,0,-600,1050,-900,50,0,-24,228,-268,304,-20,-28,0,11,0,6,0,0
273,1785849411.0121,0.03337,-12.3956,-0.6593,-7.4725,78.5934,-2.2418,2.9762,-7.9037,-39.5186,86.9409,-84.3063,-2.6346,0.0000,-236.861,238.429,-239.998,-155.293,-395.116,0.000,-50,-450,1000,-950,0,0,-84,200,-288,320,44,24,3,6,1,7,0,0
274,1785849411.0455,0.03338,-12.4835,-1.8022,-4.4835,75.8681,-2.4176,2.9762,-2.6340,-34.2414,89.5545,-81.6527,-5.2679,0.0000,157.889,158.110,78.308,79.507,-78.898,0.000,0,-350,1000,-950,-50,0,-72,240,-276,304,-24,-40,1,13,0,6,0,0
275,1785849411.0791,0.03342,-12.3956,-2.8571,-1.2308,73.0549,-2.0659,2.9762,2.6302,-31.5624,97.3173,-84.1664,10.5208,0.0000,157.496,80.153,232.252,-75.206,472.375,0.000,50,-400,1100,-950,100,0,-60,148,-172,208,68,32,2,4,0,0,2,0
276,1785849411.1123,0.03341,-11.6923,-3.2088,0.8791,71.3846,-2.5934,2.9762,21.0499,-10.5249,63.1496,-49.9935,-15.7874,0.0000,551.306,629.657,-1022.650,1022.805,-787.412,0.000,300,-150,750,-450,-150,0,-64,72,-108,28,32,-24,2,3,0,0,0,0
277,1785849411.1457,0.03335,-11.2527,-3.2967,2.3736,70.9451,-2.8571,2.9762,13.1818,-2.6364,44.8181,-13.1818,-7.9091,0.0000,-235.953,236.567,-549.737,1103.929,236.260,0.000,150,-50,500,-200,-50,0,-36,232,-124,28,-32,32,0,22,0,0,0,0
278,1785849411.1791,0.03344,-10.9890,-3.7363,3.6923,70.9451,-2.5934,2.9762,7.8868,-13.1447,39.4342,0.0000,7.8868,0.0000,-158.341,-314.245,-161.001,394.191,472.365,0.000,100,-150,600,0,0,0,-64,156,128,68,32,0,1,8,7,2,0,0
279,1785849411.2125,0.03344,-10.9011,-3.8242,3.6044,70.7692,-2.6813,2.9762,2.6293,-2.6293,-2.6293,-5.2586,-2.6293,0.0000,-157.244,314.498,-1258.045,-157.275,-314.519,0.000,50,0,0,-150,0,0,44,0,172,60,80,-20,0,0,13,1,1,0
280,1785849411.2459,0.03335,-10.7253,-3.9121,3.1648,70.3297,-3.1209,2.9762,5.2728,-2.6364,-13.1821,-13.1821,-13.1821,0.0000,79.278,-0.214,-316.472,-237.621,-316.472,0.000,50,0,-200,-150,-150,0,-28,20,56,92,44,0,0,0,1,3,0,0
281,1785849411.2793,0.03341,-10.6374,-3.8242,3.2527,69.5385,-3.6484,2.9762,2.6313,2.6313,2.6313,-23.6817,-15.7878,0.0000,-79.064,157.669,473.312,-314.265,-77.991,0.000,50,0,-50,-300,-100,0,-60,136,-108,144,-156,24,1,5,2,3,6,1
282,1785849411.3127,0.03342,-10.6374,-3.9121,4.3956,68.6593,-2.5934,2.9762,0.0000,-2.6304,34.1950,-26.3039,31.5646,0.0000,-78.730,-157.433,944.407,-78.456,1416.816,0.000,0,-50,400,-300,350,0,0,80,32,-52,-68,40,0,4,2,2,0,1
283,1785849411.3461,0.0334,-10.6374,-3.9121,4.8352,68.9231,-1.9780,2.9762,0.0000,0.0000,13.1602,7.8961,18.4243,0.0000,0.000,78.752,-629.771,1023.928,-393.415,0.000,0,0,100,-50,200,0,-96,48,48,-32,48,0,4,1,1,0,0,0
284,1785849411.3795,0.03338,-10.2857,-3.8242,4.8352,69.1868,-1.9780,2.9762,10.5357,2.6339,0.0000,7.9018,0.0000,0.0000,315.657,78.914,-394.290,0.169,-552.006,0.000,200,0,0,100,-50,0,-80,120,-120,112,-52,36,1,6,2,3,1,0
285,1785849411.413,0.03341,-9.7582,-4.2637,5.9780,68.2198,-1.9780,2.9762,15.7880,-13.1566,34.2073,-28.9446,0.0000,0.0000,157.208,-472.633,1023.870,-1102.862,0.000,0.000,100,-50,300,-400,-50,0,-64,148,-156,196,-24,20,1,4,0,4,0,0
286,1785849411.4463,0.03336,-9.1429,-4.7912,7.6484,66.8132,-1.8901,2.9762,18.4476,-15.8123,50.0721,-42.1660,2.6354,0.0000,79.730,-79.608,475.588,-396.343,79.002,0.000,200,-200,600,-500,50,0,60,52,48,52,60,-24,2,1,2,0,1,0
287,1785849411.4797,0.0334,-9.1429,-4.5275,7.9121,66.1978,-2.2418,2.9762,0.0000,7.8963,7.8963,-18.4247,-10.5284,0.0000,-552.325,709.838,-1262.752,710.818,-394.126,0.000,0,150,0,-250,-250,0,32,60,44,76,100,20,0,2,1,0,0,0
288,1785849411.5131,0.03341,-9.1429,-4.5275,7.9121,65.6703,-3.1209,2.9762,0.0000,0.0000,0.0000,-15.7887,-26.3145,0.0000,0.000,-236.358,-236.358,78.904,-472.519,0.000,0,0,0,-150,-450,0,-68,80,-52,96,52,-20,1,3,1,2,0,0
289,1785849411.5464,0.03337,-9.3187,-4.6154,8.3516,64.9670,-3.7363,2.9762,-5.2684,-2.6342,13.1709,-21.0735,-18.4393,0.0000,-157.860,-78.930,394.651,-158.353,235.971,0.000,-50,0,150,-250,-200,0,-60,28,-48,-36,152,32,1,1,0,1,3,0
290,1785849411.58,0.03341,-9.1429,-4.4396,9.0549,65.1429,-4.7912,2.9762,5.2625,5.2625,21.0498,5.2625,-31.5748,0.0000,315.190,236.349,235.818,788.241,-393.148,0.000,50,50,150,50,-300,0,32,-208,144,-20,-44,28,1,6,8,0,2,0
291,1785849411.6133,0.03339,-8.9670,-2.8571,8.0879,64.9670,-4.7912,2.9762,5.2660,47.3943,-28.9632,-5.2660,0.0000,0.0000,0.107,1261.875,-1497.921,-315.335,945.683,0.000,50,400,-200,-100,-50,0,-24,-176,212,-160,-32,-24,0,0,5,4,0,0
